Country,Province,Longitude,Latitude,ConfirmedCount,DeadCount,CuredCount,LastUpdateTime
China,Hubei,104.195397,35.86166,62662,2144,11881,2020-02-21 13:03:09
China,Guangdong,104.195397,35.86166,1333,5,690,2020-02-21 10:13:09
China,Henan,104.195397,35.86166,1267,19,736,2020-02-21 13:43:02
China,Zhejiang,104.195397,35.86166,1203,1,679,2020-02-21 10:23:02
China,Hunan,104.195397,35.86166,1011,4,661,2020-02-21 15:13:07
China,Anhui,104.195397,35.86166,988,6,539,2020-02-21 10:13:09
China,Jiangxi,104.195397,35.86166,934,1,489,2020-02-21 01:13:05
China,Shandong,104.195397,35.86166,749,4,281,2020-02-21 10:23:02
China,Jiangsu,104.195397,35.86166,631,0,373,2020-02-21 11:43:01
China,Chongqing,104.195397,35.86166,572,6,316,2020-02-21 23:13:14
China,Sichuan,104.195397,35.86166,525,3,231,2020-02-21 12:53:01
China,Heilongjiang,104.195397,35.86166,479,12,175,2020-02-21 11:43:01
China,Beijing,104.195397,35.86166,396,4,169,2020-02-21 01:03:09
China,Shanghai,104.195397,35.86166,334,2,211,2020-02-21 05:53:01
China,Hebei,104.195397,35.86166,308,5,184,2020-02-21 12:53:01
China,Fujian,104.195397,35.86166,293,1,149,2020-02-21 11:43:01
China,Guangxi,104.195397,35.86166,246,2,97,2020-02-21 11:43:01
China,Shaanxi,104.195397,35.86166,245,1,134,2020-02-21 11:43:01
South Korea,South Korea,-54.385628,-76.697372,204,2,16,2020-02-21 13:43:02
China,Yunnan,104.195397,35.86166,174,2,96,2020-02-21 06:23:04
China,Hainan,104.195397,35.86166,168,4,95,2020-02-21 10:13:09
China,Guizhou,104.195397,35.86166,146,2,77,2020-02-21 12:53:01
China,Shanxi,104.195397,35.86166,132,0,78,2020-02-21 23:33:06
China,Tianjin,104.195397,35.86166,132,3,62,2020-02-21 12:53:01
China,Liaoning,104.195397,35.86166,121,1,61,2020-02-21 01:33:02
Japan,Japan,138.252924,36.204824,105,1,22,2020-02-21 19:03:06
China,Gansu,104.195397,35.86166,91,2,76,2020-02-21 15:13:07
China,Jilin,104.195397,35.86166,91,1,45,2020-02-21 10:13:09
Singapore,Singapore,103.819836,1.352083,85,0,37,2020-02-21 03:43:02
China,Xinjiang,104.195397,35.86166,76,1,24,2020-02-21 13:43:02
China,Inner Mongolia,104.195397,35.86166,75,0,17,2020-02-21 08:03:15
China,Ningxia,104.195397,35.86166,71,0,48,2020-02-21 06:23:04
China,Hong Kong,104.195397,35.86166,68,2,5,2020-02-21 03:43:02
Thailand,Thailand,100.992541,15.870032,35,0,17,2020-02-21 18:53:02
China,Taiwan,104.195397,35.86166,26,1,2,2020-02-21 06:53:03
Malaysia,Malaysia,101.975766,4.210484,22,0,15,2020-02-19 09:33:03
Italy,Italy,12.56738,41.87194,20,1,0,2020-02-21 23:33:06
Iran,Iran,53.688046,32.427908,18,4,0,2020-02-21 18:53:02
China,Qinghai,104.195397,35.86166,18,0,18,2020-02-21 04:43:02
Germany,Germany,10.451526,51.165691,16,0,14,2020-02-21 23:03:13
Vietnam,Vietnam,108.277199,14.058324,16,0,14,2020-02-21 06:03:04
France,France,2.213749,46.227638,12,1,4,2020-02-15 20:53:02
China,Macau,104.195397,35.86166,10,0,6,2020-02-20 02:13:19
United Arab Emirates,United Arab Emirates,53.847818,23.424076,9,0,4,2020-02-16 20:43:02
Canada,British Columbia,-106.346771,56.130366,6,0,0,2020-02-21 05:23:04
Australia,Queensland,133.775136,-25.274398,5,0,1,2020-02-21 05:43:02
Australia,From Diamond Princess,133.775136,-25.274398,4,0,0,2020-02-21 23:03:13
Australia,New South Wales,133.775136,-25.274398,4,0,4,2020-02-13 17:53:03
Australia,Victoria,133.775136,-25.274398,4,0,4,2020-02-13 17:53:03
India,India,78.96288,20.593684,3,0,3,2020-02-16 07:43:02
Philippines,Philippines,121.774017,12.879721,3,1,1,2020-02-12 07:43:02
Australia,South Australia,133.775136,-25.274398,2,0,2,2020-02-17 08:13:09
Canada,"Toronto, ON",-106.346771,56.130366,2,0,2,2020-02-21 05:23:04
Russia,Russia,105.318756,61.52401,2,0,2,2020-02-12 14:43:03
Spain,Spain,-3.74922,40.463667,2,0,2,2020-02-15 17:23:04
Belgium,Belgium,4.469936,50.503887,1,0,1,2020-02-17 04:23:06
Cambodia,Cambodia,104.990963,12.565679,1,0,1,2020-02-12 07:43:02
Canada,"London, ON",-106.346771,56.130366,1,0,1,2020-02-12 18:53:03
Egypt,Egypt,30.802498,26.820553,1,0,0,2020-02-21 18:53:02
Finland,Finland,25.748151,61.92411,1,0,1,2020-02-12 00:03:12
Israel,From Diamond Princess,34.851612,31.046051,1,0,0,2020-02-21 15:33:03
Lebanon,None,35.862285,33.854721,1,0,0,2020-02-21 15:33:03
China,Tibet,104.195397,35.86166,1,0,1,2020-02-12 06:43:02
Nepal,Nepal,84.124008,28.394857,1,0,1,2020-02-12 14:43:03
Sri Lanka,Sri Lanka,80.771797,7.873054,1,0,1,2020-02-08 03:43:03
Sweden,Sweden,18.643501,60.128161,1,0,0,2020-02-01 02:13:26
