Country,Province,Longitude,Latitude,ConfirmedCount,DeadCount,CuredCount,LastUpdateTime
China,Hubei,104.195397,35.86166,19665,549,633,2020-02-05 23:13:12
China,Guangdong,104.195397,35.86166,895,0,49,2020-02-05 13:23:04
China,Zhejiang,104.195397,35.86166,895,0,78,2020-02-05 15:13:02
China,Henan,104.195397,35.86166,764,2,47,2020-02-05 15:03:02
China,Hunan,104.195397,35.86166,661,0,54,2020-02-05 15:23:02
China,Jiangxi,104.195397,35.86166,548,0,27,2020-02-05 01:33:07
China,Anhui,104.195397,35.86166,530,0,23,2020-02-05 13:43:02
China,Chongqing,104.195397,35.86166,389,2,15,2020-02-05 23:43:02
China,Jiangsu,104.195397,35.86166,341,0,23,2020-02-05 12:43:02
China,Shandong,104.195397,35.86166,307,0,15,2020-02-05 10:13:13
China,Sichuan,104.195397,35.86166,301,1,24,2020-02-05 10:13:13
China,Beijing,104.195397,35.86166,253,1,24,2020-02-05 05:43:02
China,Shanghai,104.195397,35.86166,243,1,15,2020-02-05 06:23:04
China,Fujian,104.195397,35.86166,205,0,11,2020-02-05 12:33:01
China,Heilongjiang,104.195397,35.86166,190,2,7,2020-02-05 12:13:04
China,Shaanxi,104.195397,35.86166,165,0,6,2020-02-05 08:43:01
China,Guangxi,104.195397,35.86166,150,0,13,2020-02-05 12:03:08
China,Hebei,104.195397,35.86166,135,1,6,2020-02-05 11:23:18
China,Yunnan,104.195397,35.86166,128,0,5,2020-02-05 23:33:02
China,Hainan,104.195397,35.86166,99,1,5,2020-02-05 16:43:04
China,Liaoning,104.195397,35.86166,89,0,4,2020-02-05 15:23:02
China,Shanxi,104.195397,35.86166,81,0,5,2020-02-05 15:23:02
China,Tianjin,104.195397,35.86166,69,1,2,2020-02-05 03:43:02
China,Guizhou,104.195397,35.86166,64,1,9,2020-02-05 12:33:02
China,Gansu,104.195397,35.86166,62,0,6,2020-02-05 16:23:06
China,Jilin,104.195397,35.86166,54,0,2,2020-02-05 11:03:16
China,Inner Mongolia,104.195397,35.86166,42,0,3,2020-02-05 08:53:02
China,Ningxia,104.195397,35.86166,34,0,1,2020-02-04 02:13:18
China,Xinjiang,104.195397,35.86166,32,0,0,2020-02-05 02:03:13
Singapore,Singapore,103.819836,1.352083,28,0,0,2020-02-05 16:33:03
Thailand,Thailand,100.992541,15.870032,25,0,5,2020-02-04 15:33:03
Japan,Japan,138.252924,36.204824,22,0,1,2020-02-04 16:43:03
China,Hong Kong,104.195397,35.86166,21,1,0,2020-02-05 13:13:10
South Korea,South Korea,-54.385628,-76.697372,19,0,0,2020-02-05 15:33:01
China,Qinghai,104.195397,35.86166,17,0,3,2020-02-05 03:13:05
Germany,Germany,10.451526,51.165691,12,0,0,2020-02-03 20:53:02
Malaysia,Malaysia,101.975766,4.210484,12,0,0,2020-02-05 15:43:02
China,Taiwan,104.195397,35.86166,11,0,0,2020-02-04 14:53:02
China,Macau,104.195397,35.86166,10,0,0,2020-02-04 04:43:02
Vietnam,Vietnam,108.277199,14.058324,8,0,1,2020-02-03 21:43:02
France,France,2.213749,46.227638,6,0,0,2020-02-01 01:52:40
United Arab Emirates,United Arab Emirates,53.847818,23.424076,5,0,0,2020-02-02 05:43:01
Australia,New South Wales,133.775136,-25.274398,4,0,2,2020-02-01 18:12:49
Australia,Victoria,133.775136,-25.274398,4,0,0,2020-02-01 18:12:49
Australia,Queensland,133.775136,-25.274398,3,0,0,2020-02-04 16:53:03
India,India,78.96288,20.593684,3,0,0,2020-02-03 21:43:02
Australia,South Australia,133.775136,-25.274398,2,0,0,2020-02-02 22:33:07
Canada,British Columbia,-106.346771,56.130366,2,0,0,2020-02-05 17:33:03
Canada,"Toronto, ON",-106.346771,56.130366,2,0,0,2020-02-04 00:13:06
Italy,Italy,12.56738,41.87194,2,0,0,2020-01-31 08:15:53
Philippines,Philippines,121.774017,12.879721,2,1,0,2020-02-02 03:33:07
Russia,Russia,105.318756,61.52401,2,0,0,2020-01-31 16:13:45
Belgium,Belgium,4.469936,50.503887,1,0,0,2020-02-04 15:43:02
Cambodia,Cambodia,104.990963,12.565679,1,0,0,2020-01-31 08:15:53
Canada,"London, ON",-106.346771,56.130366,1,0,0,2020-02-04 00:03:11
Finland,Finland,25.748151,61.92411,1,0,0,2020-01-31 08:15:53
China,Tibet,104.195397,35.86166,1,0,0,2020-02-01 01:52:40
Nepal,Nepal,84.124008,28.394857,1,0,0,2020-01-31 08:15:53
Spain,Spain,-3.74922,40.463667,1,0,0,2020-02-01 23:43:02
Sri Lanka,Sri Lanka,80.771797,7.873054,1,0,0,2020-01-31 08:15:53
Sweden,Sweden,18.643501,60.128161,1,0,0,2020-02-01 02:13:26
