Country,Province,Longitude,Latitude,ConfirmedCount,DeadCount,CuredCount,LastUpdateTime
China,Hubei,112.2707,30.9756,67592,2931,42033,2020-03-06 14:23:04
South Korea,South Korea,128.0,36.0,6593,42,135,2020-03-06 13:33:03
Iran,Iran,53.0,32.0,4747,124,913,2020-03-06 12:23:04
Italy,Italy,12.0,43.0,4636,197,523,2020-03-06 17:33:03
China,Guangdong,113.4244,23.3417,1352,7,1216,2020-03-06 12:53:03
China,Henan,113.614,33.882,1272,22,1244,2020-03-06 12:43:03
China,Zhejiang,120.0934,29.1832,1215,1,1147,2020-03-06 10:23:03
China,Hunan,111.7088,27.6104,1018,4,955,2020-03-06 11:03:10
China,Anhui,117.2264,31.8257,990,6,979,2020-03-06 03:23:06
China,Jiangxi,115.7221,27.614,935,1,909,2020-03-06 14:23:04
China,Shandong,118.1498,36.3427,758,6,618,2020-03-06 11:03:10
Others,Diamond Princess cruise ship,139.638,35.4437,696,6,40,2020-03-06 01:29:39
Germany,Germany,9.0,51.0,670,0,17,2020-03-06 17:53:03
France,France,2.0,47.0,653,9,12,2020-03-06 20:13:13
China,Jiangsu,119.455,32.9711,631,0,594,2020-03-06 10:23:03
China,Chongqing,107.874,30.0572,576,6,513,2020-03-06 11:03:10
China,Sichuan,102.7103,30.6171,539,3,442,2020-03-06 12:53:03
China,Heilongjiang,127.7615,47.862,481,13,396,2020-03-06 14:23:04
China,Beijing,116.4142,40.1824,422,8,299,2020-03-06 12:53:03
Japan,Japan,138.0,36.0,420,6,46,2020-03-06 20:13:13
Spain,Spain,-4.0,40.0,400,5,2,2020-03-06 20:13:13
China,Shanghai,121.4491,31.202,342,3,306,2020-03-06 06:03:13
China,Hebei,114.5149,38.0428,318,6,305,2020-03-06 03:23:06
China,Fujian,117.9874,26.0789,296,1,284,2020-03-06 12:53:03
China,Guangxi,108.7881,23.8298,252,2,217,2020-03-06 00:33:02
China,Shaanxi,108.8701,35.1917,245,1,226,2020-03-06 10:23:03
Switzerland,Switzerland,8.2275,46.8182,214,1,3,2020-03-06 15:23:19
China,Yunnan,101.487,24.974,174,2,170,2020-03-06 03:23:06
China,Hainan,109.7453,19.1959,168,6,158,2020-03-05 06:13:10
UK,UK,-3.0,55.0,163,2,8,2020-03-06 15:33:03
China,Guizhou,106.8748,26.8154,146,2,114,2020-03-02 01:13:06
China,Tianjin,117.323,39.3054,136,3,128,2020-03-05 03:33:27
China,Shanxi,112.2922,37.5777,133,0,126,2020-03-05 14:53:03
Singapore,Singapore,103.8333,1.2833,130,0,78,2020-03-06 13:03:12
Netherlands,Netherlands,5.2913,52.1326,128,1,0,2020-03-06 13:23:06
China,Liaoning,122.6085,41.2956,125,1,106,2020-03-03 14:33:03
China,Gansu,103.8343,36.0611,119,2,87,2020-03-06 14:43:15
Belgium,Belgium,4.0,50.8333,109,0,1,2020-03-06 12:33:03
Norway,Norway,8.4689,60.472,108,0,0,2020-03-06 16:33:04
China,Hong Kong,114.2,22.3,107,2,46,2020-03-06 23:13:06
Sweden,Sweden,16.0,63.0,101,0,0,2020-03-06 13:03:12
China,Jilin,126.1923,43.6661,93,1,90,2020-03-06 10:23:03
Malaysia,Malaysia,112.5,2.5,83,0,22,2020-03-06 12:33:03
China,Xinjiang,85.2401,41.1129,76,3,71,2020-03-06 05:53:03
China,Inner Mongolia,113.9448,44.0935,75,1,65,2020-03-05 23:53:01
China,Ningxia,106.1655,37.2692,75,0,71,2020-03-06 12:53:03
Bahrain,Bahrain,50.55,26.0275,60,0,4,2020-03-06 15:33:03
Kuwait,Kuwait,47.75,29.5,58,0,0,2020-03-05 13:43:04
US,"King County, WA",-121.9836,47.548,58,12,1,2020-03-06 23:13:07
Austria,Austria,14.5501,47.5162,55,0,0,2020-03-06 16:33:04
Thailand,Thailand,101.0,15.0,48,1,31,2020-03-06 08:33:03
Greece,Greece,21.8243,39.0742,45,0,0,2020-03-06 13:03:12
China,Taiwan,121.0,23.7,45,1,12,2020-03-06 12:43:03
