Country,Province,Longitude,Latitude,ConfirmedCount,DeadCount,CuredCount,LastUpdateTime
China,Hubei,112.2707,30.9756,67707,2986,45235,2020-03-08 14:43:03
Italy,Italy,12.0,43.0,7375,366,622,2020-03-08 18:03:04
South Korea,South Korea,128.0,36.0,7314,50,118,2020-03-08 12:53:03
Iran,Iran,53.0,32.0,6566,194,2134,2020-03-08 11:03:30
China,Guangdong,113.4244,23.3417,1352,7,1256,2020-03-08 14:43:03
China,Henan,113.614,33.882,1272,22,1247,2020-03-08 05:03:02
China,Zhejiang,120.0934,29.1832,1215,1,1161,2020-03-08 09:03:04
France,France,2.0,47.0,1126,19,12,2020-03-08 18:03:04
Germany,Germany,9.0,51.0,1040,0,18,2020-03-08 21:03:03
China,Hunan,111.7088,27.6104,1018,4,968,2020-03-08 12:53:03
China,Anhui,117.2264,31.8257,990,6,984,2020-03-08 05:13:06
China,Jiangxi,115.7221,27.614,935,1,919,2020-03-08 06:53:04
China,Shandong,118.1498,36.3427,758,6,642,2020-03-08 10:03:11
Others,Diamond Princess cruise ship,139.638,35.4437,696,6,40,2020-03-06 01:29:39
Spain,Spain,-4.0,40.0,673,17,30,2020-03-08 20:33:02
China,Jiangsu,119.455,32.9711,631,0,612,2020-03-08 09:23:05
China,Chongqing,107.874,30.0572,576,6,527,2020-03-08 23:23:03
China,Sichuan,102.7103,30.6171,539,3,464,2020-03-08 12:53:03
Japan,Japan,138.0,36.0,502,6,76,2020-03-08 14:53:11
China,Heilongjiang,127.7615,47.862,481,13,412,2020-03-08 14:43:03
China,Beijing,116.4142,40.1824,428,8,308,2020-03-08 01:23:07
China,Shanghai,121.4491,31.202,342,3,314,2020-03-08 04:33:02
Switzerland,Switzerland,8.2275,46.8182,337,2,3,2020-03-08 17:23:07
China,Hebei,114.5149,38.0428,318,6,307,2020-03-07 13:03:05
China,Fujian,117.9874,26.0789,296,1,295,2020-03-07 13:03:05
UK,UK,-3.0,55.0,273,3,18,2020-03-08 22:03:10
Netherlands,Netherlands,5.2913,52.1326,265,3,0,2020-03-08 13:43:02
China,Guangxi,108.7881,23.8298,252,2,223,2020-03-08 00:23:02
China,Shaanxi,108.8701,35.1917,245,1,227,2020-03-08 14:43:03
Sweden,Sweden,16.0,63.0,203,0,0,2020-03-08 14:03:12
Belgium,Belgium,4.0,50.8333,200,0,1,2020-03-08 17:23:07
Norway,Norway,8.4689,60.472,176,0,0,2020-03-08 21:03:03
China,Yunnan,101.487,24.974,174,2,170,2020-03-06 03:23:06
China,Hainan,109.7453,19.1959,168,6,159,2020-03-08 04:33:02
Singapore,Singapore,103.8333,1.2833,150,0,78,2020-03-08 13:33:13
China,Guizhou,106.8748,26.8154,146,2,117,2020-03-08 01:13:11
China,Tianjin,117.323,39.3054,136,3,128,2020-03-05 03:33:27
China,Shanxi,112.2922,37.5777,133,0,126,2020-03-05 14:53:03
China,Liaoning,122.6085,41.2956,125,1,109,2020-03-08 05:13:06
China,Gansu,103.8343,36.0611,124,2,87,2020-03-08 14:33:06
China,Hong Kong,114.2,22.3,114,3,58,2020-03-08 14:43:03
Austria,Austria,14.5501,47.5162,104,0,0,2020-03-08 09:13:14
Malaysia,Malaysia,112.5,2.5,99,0,24,2020-03-08 14:43:03
China,Jilin,126.1923,43.6661,93,1,90,2020-03-06 10:23:03
Bahrain,Bahrain,50.55,26.0275,85,0,4,2020-03-07 18:13:26
US,"King County, WA",-121.9836,47.548,83,17,1,2020-03-08 20:23:09
US,"Westchester County, NY",-73.7949,41.122,83,0,0,2020-03-08 18:03:07
China,Xinjiang,85.2401,41.1129,76,3,73,2020-03-08 05:33:02
China,Inner Mongolia,113.9448,44.0935,75,1,70,2020-03-08 05:13:06
China,Ningxia,106.1655,37.2692,75,0,71,2020-03-06 12:53:03
Greece,Greece,21.8243,39.0742,73,0,0,2020-03-08 17:23:07
Kuwait,Kuwait,47.75,29.5,64,0,1,2020-03-08 15:33:04
Iraq,Iraq,44.0,33.0,60,6,0,2020-03-08 21:03:03
Iceland,Iceland,-19.0208,64.9631,50,0,0,2020-03-07 18:13:27
Thailand,Thailand,101.0,15.0,50,1,31,2020-03-07 10:13:23
Egypt,Egypt,30.0,26.0,49,1,1,2020-03-08 19:03:11
China,Taiwan,121.0,23.7,45,1,13,2020-03-08 03:13:13
US,Unassigned Location (From Diamond Princess),139.638,35.4437,45,0,0,2020-03-02 19:53:03
United Arab Emirates,United Arab Emirates,54.0,24.0,45,0,7,2020-03-07 10:13:22
India,India,78.0,21.0,39,0,3,2020-03-08 09:23:05
Israel,Israel,35.0,31.0,39,0,2,2020-03-08 21:03:03
Australia,New South Wales,151.2093,-33.8688,38,3,4,2020-03-08 05:13:07
