Country,Province,Longitude,Latitude,ConfirmedCount,DeadCount,CuredCount,LastUpdateTime
China,Hubei,112.2707,30.9756,67781,3056,50318,2020-03-12 09:53:06
Italy,Italy,12.0,43.0,12462,827,1045,2020-03-11 21:33:02
Iran,Iran,53.0,32.0,10075,429,2959,2020-03-12 11:13:27
"Korea, South","Korea, South",128.0,36.0,7869,66,333,2020-03-12 05:13:02
France,France,2.2137,46.2276,2281,48,12,2020-03-11 22:53:03
Spain,Spain,-4.0,40.0,2277,55,183,2020-03-12 01:17:58
Germany,Germany,9.0,51.0,2078,3,25,2020-03-12 09:53:06
China,Guangdong,113.4244,23.3417,1356,8,1289,2020-03-12 03:53:02
China,Henan,113.614,33.882,1273,22,1249,2020-03-11 08:13:09
China,Zhejiang,120.0934,29.1832,1215,1,1197,2020-03-12 01:33:02
China,Hunan,111.7088,27.6104,1018,4,999,2020-03-12 09:53:06
China,Anhui,117.2264,31.8257,990,6,984,2020-03-11 02:18:14
China,Jiangxi,115.7221,27.614,935,1,934,2020-03-12 02:13:04
China,Shandong,118.1498,36.3427,760,6,734,2020-03-12 07:53:02
Norway,Norway,8.4689,60.472,702,0,1,2020-03-12 13:13:31
Cruise Ship,Diamond Princess,139.638,35.4437,696,7,325,2020-03-11 22:13:12
Switzerland,Switzerland,8.2275,46.8182,652,4,4,2020-03-11 20:53:02
Japan,Japan,138.0,36.0,639,16,118,2020-03-12 05:13:02
China,Jiangsu,119.455,32.9711,631,0,629,2020-03-12 05:13:02
Denmark,Denmark,9.5018,56.2639,615,0,1,2020-03-12 09:53:06
Sweden,Sweden,16.0,63.0,599,1,1,2020-03-12 21:39:09
China,Chongqing,107.874,30.0572,576,6,564,2020-03-12 23:44:32
China,Sichuan,102.7103,30.6171,539,3,498,2020-03-12 12:13:07
Netherlands,Netherlands,5.2913,52.1326,503,5,0,2020-03-11 14:13:11
China,Heilongjiang,127.7615,47.862,482,13,441,2020-03-12 13:13:31
United Kingdom,UK,-3.436,55.3781,456,8,18,2020-03-11 21:33:03
US,Washington,-121.4905,47.4009,442,31,1,2020-03-12 23:44:33
China,Beijing,116.4142,40.1824,435,8,334,2020-03-12 01:13:05
China,Shanghai,121.4491,31.202,344,3,321,2020-03-12 07:53:02
US,New York,-74.9481,42.1657,328,0,0,2020-03-12 21:39:10
China,Hebei,116.1306,39.549,318,6,308,2020-03-12 05:33:02
Belgium,Belgium,4.0,50.8333,314,3,1,2020-03-11 18:52:03
Austria,Austria,14.5501,47.5162,302,1,4,2020-03-12 11:13:29
China,Fujian,117.9874,26.0789,296,1,295,2020-03-11 02:18:14
Qatar,Qatar,51.1839,25.3548,262,0,0,2020-03-11 18:52:03
China,Guangxi,108.7881,23.8298,252,2,241,2020-03-12 00:33:06
China,Shaanxi,108.8701,35.1917,245,2,232,2020-03-12 01:33:02
US,California,-119.6816,36.1162,221,4,6,2020-03-12 23:44:33
Bahrain,Bahrain,50.55,26.0275,195,0,35,2020-03-11 22:33:03
Singapore,Singapore,103.8333,1.2833,178,0,96,2020-03-11 13:53:24
China,Yunnan,101.487,24.974,174,2,170,2020-03-11 02:18:14
China,Hainan,109.7453,19.1959,168,6,160,2020-03-12 03:53:02
Malaysia,Malaysia,112.5,2.5,149,0,26,2020-03-11 11:33:08
China,Guizhou,106.8748,26.8154,146,2,137,2020-03-12 01:13:06
China,Tianjin,117.323,39.3054,136,3,132,2020-03-12 01:53:03
China,Shanxi,112.2922,37.5777,133,0,132,2020-03-12 09:13:24
Israel,Israel,35.0,31.0,131,0,4,2020-03-12 21:39:09
China,Hong Kong,114.2,22.3,129,3,67,2020-03-12 01:53:02
China,Gansu,101.0583,37.8099,127,2,88,2020-03-11 14:33:03
China,Liaoning,122.6085,41.2956,125,1,112,2020-03-12 09:53:06
US,Massachusetts,-71.5301,42.2302,108,0,1,2020-03-12 21:39:09
Iceland,Iceland,-19.0208,64.9631,103,0,1,2020-03-12 21:39:09
Greece,Greece,21.8243,39.0742,99,1,0,2020-03-11 23:53:02
Czechia,Czechia,15.473,49.8175,94,0,0,2020-03-12 01:33:03
China,Jilin,126.1923,43.6661,93,1,91,2020-03-12 23:44:32
Slovenia,Slovenia,14.9955,46.1512,89,0,0,2020-03-12 13:33:02
United Arab Emirates,United Arab Emirates,53.8478,23.4241,85,0,17,2020-03-12 21:39:09
Kuwait,Kuwait,47.75,29.5,80,0,5,2020-03-12 09:13:24
China,Xinjiang,85.2401,41.1129,76,3,73,2020-03-11 02:18:14
China,Inner Mongolia,113.9448,44.0935,75,1,71,2020-03-11 03:53:03
China,Ningxia,106.1655,37.2692,75,0,72,2020-03-11 09:33:12
India,India,78.0,21.0,73,1,4,2020-03-12 08:33:13
Iraq,Iraq,44.0,33.0,71,8,15,2020-03-12 08:33:13
Thailand,Thailand,100.9925,15.87,70,1,34,2020-03-12 08:53:02
San Marino,San Marino,12.4578,43.9424,69,3,0,2020-03-12 08:53:02
Egypt,Egypt,30.0,26.0,67,1,27,2020-03-12 08:53:02
Australia,New South Wales,151.2093,-33.8688,65,2,4,2020-03-11 18:52:04
Lebanon,Lebanon,35.8623,33.8547,61,3,1,2020-03-12 09:13:24
Finland,Finland,26.0,64.0,59,0,1,2020-03-11 13:33:10
Portugal,Portugal,-8.2245,39.3999,59,0,0,2020-03-11 13:33:11
Brazil,Brazil,-51.9253,-14.235,52,0,0,2020-03-12 01:33:03
Philippines,Philippines,121.774,12.8797,52,2,2,2020-03-12 09:53:06
Poland,Poland,19.1451,51.9194,49,1,0,2020-03-12 13:33:02
Romania,Romania,25.0,46.0,49,0,6,2020-03-12 09:13:24
Taiwan*,Taiwan*,121.0,23.7,49,1,20,2020-03-12 08:13:09
Canada,British Columbia,-127.6476,53.7267,46,1,4,2020-03-12 01:53:03
US,Diamond Princess,139.638,35.4437,46,0,0,2020-03-10 02:33:04
Saudi Arabia,Saudi Arabia,45.0,24.0,45,0,1,2020-03-12 01:17:58
US,Colorado,-105.3111,39.0598,45,0,0,2020-03-12 21:39:10
Ireland,Ireland,-7.6921,53.1424,43,1,0,2020-03-11 21:33:03
Canada,Ontario,-85.3232,51.2538,42,0,4,2020-03-12 01:53:03
Vietnam,Vietnam,108.0,16.0,39,0,16,2020-03-12 09:33:03
US,Florida,-81.6868,27.7663,35,2,0,2020-03-12 21:39:10
Indonesia,Indonesia,113.9213,-0.7893,34,1,2,2020-03-11 11:14:26
US,Illinois,-88.9861,40.3495,32,0,2,2020-03-12 23:44:33
US,Georgia,-83.6431,33.0406,31,1,0,2020-03-12 21:39:10
US,New Jersey,-74.521,40.2989,29,1,0,2020-03-12 21:39:10
Russia,Russia,90.0,60.0,28,0,3,2020-03-12 08:53:02
US,Texas,-97.5635,31.0545,27,0,0,2020-03-12 23:44:33
Algeria,Algeria,1.6596,28.0339,24,1,8,2020-03-12 09:13:24
Georgia,Georgia,43.3569,42.3154,24,0,0,2020-03-11 22:13:12
US,Oregon,-122.0709,44.572,24,0,0,2020-03-12 23:44:33
Albania,Albania,20.1683,41.1533,23,1,0,2020-03-12 21:39:09
Chile,Chile,-71.543,-35.6751,23,0,0,2020-03-11 22:13:12
Costa Rica,Costa Rica,-83.7534,9.7489,22,0,0,2020-03-12 01:33:03
US,Pennsylvania,-77.2098,40.5908,22,0,0,2020-03-12 21:39:10
Australia,Victoria,144.9631,-37.8136,21,0,7,2020-03-11 18:52:04
US,Grand Princess,-122.6655,37.6489,21,0,0,2020-03-10 02:33:04
Australia,Queensland,153.4,-28.0167,20,0,8,2020-03-11 18:52:04
Pakistan,Pakistan,69.3451,30.3753,20,0,2,2020-03-12 08:53:02
Argentina,Argentina,-63.6167,-38.4161,19,1,0,2020-03-11 02:18:16
Canada,Alberta,-116.5765,53.9333,19,0,0,2020-03-11 23:13:07
Croatia,Croatia,15.5,45.1667,19,0,0,2020-03-11 22:13:12
Luxembourg,Luxembourg,6.1317,49.8144,19,0,0,2020-03-12 10:53:03
Serbia,Serbia,21.0059,44.0165,19,0,0,2020-03-12 09:13:24
US,Louisiana,-91.8678,31.1695,19,0,0,2020-03-12 23:44:33
China,Qinghai,95.9956,35.7452,18,0,18,2020-03-11 02:18:14
Oman,Oman,57.0,21.0,18,0,9,2020-03-10 08:33:02
US,Tennessee,-86.6923,35.7478,18,0,0,2020-03-12 21:39:10
Ecuador,Ecuador,-78.1834,-1.8312,17,0,0,2020-03-11 09:33:12
South Africa,South Africa,22.9375,-30.5595,17,0,0,2020-03-12 09:13:24
US,Virginia,-78.17,37.7693,17,0,0,2020-03-12 21:39:10
Estonia,Estonia,25.0136,58.5953,16,0,0,2020-03-11 22:13:12
Slovakia,Slovakia,19.699,48.669,16,0,0,2020-03-12 13:33:02
US,Iowa,-93.2105,42.0115,16,0,0,2020-03-12 23:44:33
Peru,Peru,-75.0152,-9.19,15,0,0,2020-03-12 08:53:02
US,North Carolina,-79.8064,35.6301,15,0,0,2020-03-12 21:39:10
US,Nevada,-117.0554,38.3135,14,0,0,2020-03-12 23:44:33
Hungary,Hungary,19.5033,47.1625,13,0,0,2020-03-11 22:13:12
US,Indiana,-86.2583,39.8494,13,0,0,2020-03-12 23:44:33
Belarus,Belarus,27.9534,53.7098,12,0,3,2020-03-12 08:53:02
Mexico,Mexico,-102.0,23.0,12,0,4,2020-03-12 05:13:03
US,Maryland,-76.8021,39.0639,12,0,0,2020-03-12 01:53:03
