Country,Province,Longitude,Latitude,ConfirmedCount,DeadCount,CuredCount,LastUpdateTime
China,Hubei,112.2707,30.9756,66907,2761,31536,2020-03-01 10:13:19
South Korea,South Korea,128.0,36.0,3736,17,30,2020-03-01 23:43:03
Italy,Italy,12.0,43.0,1694,34,83,2020-03-01 23:23:02
China,Guangdong,113.4244,23.3417,1349,7,1016,2020-03-01 14:13:18
China,Henan,113.614,33.882,1272,22,1198,2020-03-01 14:13:18
China,Zhejiang,120.0934,29.1832,1205,1,1046,2020-03-01 10:13:33
China,Hunan,111.7088,27.6104,1018,4,866,2020-03-01 10:03:03
China,Anhui,117.2264,31.8257,990,6,873,2020-03-01 10:03:03
Iran,Iran,53.0,32.0,978,54,175,2020-03-01 15:33:03
China,Jiangxi,115.7221,27.614,935,1,831,2020-03-01 01:13:10
China,Shandong,118.1498,36.3427,758,6,443,2020-03-01 11:33:03
Others,Diamond Princess cruise ship,139.638,35.4437,705,6,10,2020-02-29 01:43:02
China,Jiangsu,119.455,32.9711,631,0,536,2020-03-01 10:03:03
China,Chongqing,107.874,30.0572,576,6,450,2020-03-01 23:13:08
China,Sichuan,102.7103,30.6171,538,3,365,2020-03-01 11:43:02
China,Heilongjiang,127.7615,47.862,480,13,342,2020-03-01 11:33:03
China,Beijing,116.4142,40.1824,413,8,276,2020-03-01 02:53:03
China,Shanghai,121.4491,31.202,337,3,290,2020-03-01 07:13:07
China,Hebei,114.5149,38.0428,318,6,294,2020-03-01 14:13:18
China,Fujian,117.9874,26.0789,296,1,247,2020-03-01 09:43:03
Japan,Japan,138.0,36.0,256,6,32,2020-03-01 23:33:03
China,Guangxi,108.7881,23.8298,252,2,181,2020-03-01 09:43:03
China,Shaanxi,108.8701,35.1917,245,1,208,2020-03-01 09:43:03
China,Yunnan,101.487,24.974,174,2,163,2020-03-01 07:13:07
China,Hainan,109.7453,19.1959,168,5,149,2020-03-01 10:13:38
China,Guizhou,106.8748,26.8154,146,2,112,2020-02-27 00:43:02
China,Tianjin,117.323,39.3054,136,3,111,2020-03-01 12:43:02
China,Shanxi,112.2922,37.5777,133,0,116,2020-03-01 23:13:08
France,France,2.0,47.0,130,2,12,2020-03-01 20:43:02
Germany,Germany,9.0,51.0,130,0,16,2020-03-01 23:23:02
