Country,Province,Longitude,Latitude,ConfirmedCount,DeadCount,CuredCount,LastUpdateTime
China,Hubei,104.195397,35.86166,27100,780,1439,2020-02-08 23:33:06
China,Guangdong,104.195397,35.86166,1095,1,112,2020-02-08 11:53:01
China,Zhejiang,104.195397,35.86166,1048,0,175,2020-02-08 10:53:02
China,Henan,104.195397,35.86166,981,4,116,2020-02-08 14:13:12
China,Hunan,104.195397,35.86166,803,1,156,2020-02-08 12:53:01
China,Anhui,104.195397,35.86166,733,0,59,2020-02-08 07:43:02
China,Jiangxi,104.195397,35.86166,698,0,55,2020-02-08 01:23:02
China,Jiangsu,104.195397,35.86166,439,0,51,2020-02-08 10:23:04
China,Chongqing,104.195397,35.86166,428,2,39,2020-02-08 11:03:15
China,Shandong,104.195397,35.86166,416,0,44,2020-02-08 11:33:02
China,Sichuan,104.195397,35.86166,364,1,60,2020-02-08 15:23:04
China,Beijing,104.195397,35.86166,315,2,34,2020-02-08 03:13:09
China,Heilongjiang,104.195397,35.86166,295,5,13,2020-02-08 04:03:09
China,Shanghai,104.195397,35.86166,286,1,41,2020-02-08 06:33:02
China,Fujian,104.195397,35.86166,239,0,24,2020-02-08 08:13:10
China,Hebei,104.195397,35.86166,195,1,30,2020-02-08 11:33:02
China,Shaanxi,104.195397,35.86166,195,0,20,2020-02-08 10:13:06
China,Guangxi,104.195397,35.86166,183,0,17,2020-02-08 00:23:03
China,Yunnan,104.195397,35.86166,138,0,17,2020-02-08 08:43:02
China,Hainan,104.195397,35.86166,124,2,14,2020-02-08 10:23:04
China,Shanxi,104.195397,35.86166,115,0,21,2020-02-08 23:53:02
China,Liaoning,104.195397,35.86166,105,0,8,2020-02-08 11:53:01
China,Guizhou,104.195397,35.86166,89,1,7,2020-02-08 06:43:03
China,Tianjin,104.195397,35.86166,88,1,4,2020-02-08 08:23:04
China,Gansu,104.195397,35.86166,79,1,12,2020-02-08 15:13:14
China,Jilin,104.195397,35.86166,69,1,4,2020-02-08 00:13:04
China,Inner Mongolia,104.195397,35.86166,52,0,5,2020-02-08 03:33:02
China,Ningxia,104.195397,35.86166,45,0,15,2020-02-08 09:13:16
China,Xinjiang,104.195397,35.86166,42,0,0,2020-02-08 03:23:10
Singapore,Singapore,103.819836,1.352083,33,0,2,2020-02-08 12:53:01
Thailand,Thailand,100.992541,15.870032,32,0,10,2020-02-08 12:53:01
China,Hong Kong,104.195397,35.86166,26,1,0,2020-02-08 00:03:07
Japan,Japan,138.252924,36.204824,25,0,1,2020-02-07 04:13:20
South Korea,South Korea,-54.385628,-76.697372,24,0,1,2020-02-07 03:03:03
China,Qinghai,104.195397,35.86166,18,0,3,2020-02-06 02:13:15
China,Taiwan,104.195397,35.86166,17,0,1,2020-02-08 05:23:02
Malaysia,Malaysia,101.975766,4.210484,16,0,1,2020-02-08 10:23:04
Germany,Germany,10.451526,51.165691,13,0,0,2020-02-07 16:33:03
Vietnam,Vietnam,108.277199,14.058324,13,0,1,2020-02-08 07:23:04
France,France,2.213749,46.227638,11,0,0,2020-02-08 09:53:01
China,Macau,104.195397,35.86166,10,0,1,2020-02-06 14:23:04
United Arab Emirates,United Arab Emirates,53.847818,23.424076,7,0,0,2020-02-08 07:03:16
Australia,Queensland,133.775136,-25.274398,5,0,0,2020-02-07 01:03:02
Australia,New South Wales,133.775136,-25.274398,4,0,2,2020-02-06 03:13:22
Australia,Victoria,133.775136,-25.274398,4,0,0,2020-02-01 18:12:49
Canada,British Columbia,-106.346771,56.130366,4,0,0,2020-02-07 05:43:03
India,India,78.96288,20.593684,3,0,0,2020-02-03 21:43:02
Italy,Italy,12.56738,41.87194,3,0,0,2020-02-07 17:53:02
Philippines,Philippines,121.774017,12.879721,3,1,0,2020-02-07 16:43:04
Australia,South Australia,133.775136,-25.274398,2,0,0,2020-02-02 22:33:07
Canada,"Toronto, ON",-106.346771,56.130366,2,0,0,2020-02-04 00:13:06
Russia,Russia,105.318756,61.52401,2,0,0,2020-01-31 16:13:45
Belgium,Belgium,4.469936,50.503887,1,0,0,2020-02-04 15:43:02
Cambodia,Cambodia,104.990963,12.565679,1,0,0,2020-01-31 08:15:53
Canada,"London, ON",-106.346771,56.130366,1,0,0,2020-02-04 00:03:11
Finland,Finland,25.748151,61.92411,1,0,0,2020-01-31 08:15:53
China,Tibet,104.195397,35.86166,1,0,0,2020-02-01 01:52:40
Nepal,Nepal,84.124008,28.394857,1,0,0,2020-01-31 08:15:53
Spain,Spain,-3.74922,40.463667,1,0,0,2020-02-01 23:43:02
Sri Lanka,Sri Lanka,80.771797,7.873054,1,0,1,2020-02-08 03:43:03
Sweden,Sweden,18.643501,60.128161,1,0,0,2020-02-01 02:13:26
