Country,Province,Longitude,Latitude,ConfirmedCount,DeadCount,CuredCount,LastUpdateTime
China,Hubei,104.195397,35.86166,58182,1696,6639,2020-02-16 23:53:01
China,Guangdong,104.195397,35.86166,1316,2,465,2020-02-16 12:03:06
China,Henan,104.195397,35.86166,1231,13,440,2020-02-16 13:53:03
China,Zhejiang,104.195397,35.86166,1167,0,456,2020-02-16 09:33:02
China,Hunan,104.195397,35.86166,1004,3,464,2020-02-16 13:13:04
China,Anhui,104.195397,35.86166,962,6,255,2020-02-16 08:33:02
China,Jiangxi,104.195397,35.86166,925,1,240,2020-02-16 10:03:06
China,Jiangsu,104.195397,35.86166,617,0,218,2020-02-16 09:33:02
China,Chongqing,104.195397,35.86166,551,5,207,2020-02-16 23:53:01
China,Shandong,104.195397,35.86166,537,2,173,2020-02-16 12:03:06
China,Sichuan,104.195397,35.86166,481,3,131,2020-02-16 10:03:06
China,Heilongjiang,104.195397,35.86166,445,11,79,2020-02-16 13:53:03
China,Beijing,104.195397,35.86166,380,4,108,2020-02-16 10:03:06
China,Shanghai,104.195397,35.86166,328,1,140,2020-02-16 02:53:02
China,Hebei,104.195397,35.86166,300,3,105,2020-02-16 12:03:06
China,Fujian,104.195397,35.86166,287,0,82,2020-02-16 12:03:06
China,Guangxi,104.195397,35.86166,237,2,49,2020-02-16 12:03:06
China,Shaanxi,104.195397,35.86166,236,0,71,2020-02-16 13:53:03
China,Yunnan,104.195397,35.86166,171,0,42,2020-02-16 09:53:01
China,Hainan,104.195397,35.86166,162,4,52,2020-02-16 12:03:06
China,Guizhou,104.195397,35.86166,144,1,46,2020-02-16 09:13:09
China,Shanxi,104.195397,35.86166,129,0,50,2020-02-16 23:53:01
China,Tianjin,104.195397,35.86166,124,3,45,2020-02-16 12:23:02
China,Liaoning,104.195397,35.86166,121,1,40,2020-02-16 12:03:06
China,Gansu,104.195397,35.86166,90,2,54,2020-02-16 13:53:03
China,Jilin,104.195397,35.86166,89,1,30,2020-02-16 10:03:06
Singapore,Singapore,103.819836,1.352083,75,0,18,2020-02-16 16:23:06
China,Xinjiang,104.195397,35.86166,71,1,12,2020-02-16 08:33:02
China,Inner Mongolia,104.195397,35.86166,70,0,8,2020-02-16 08:33:02
China,Ningxia,104.195397,35.86166,70,0,33,2020-02-15 08:43:03
Japan,Japan,138.252924,36.204824,59,1,12,2020-02-16 17:43:03
China,Hong Kong,104.195397,35.86166,57,1,2,2020-02-16 09:53:01
Thailand,Thailand,100.992541,15.870032,34,0,14,2020-02-16 18:03:02
South Korea,South Korea,-54.385628,-76.697372,29,0,9,2020-02-16 01:33:02
Malaysia,Malaysia,101.975766,4.210484,22,0,7,2020-02-15 23:43:02
China,Taiwan,104.195397,35.86166,20,1,2,2020-02-16 11:23:06
China,Qinghai,104.195397,35.86166,18,0,13,2020-02-15 08:43:03
Germany,Germany,10.451526,51.165691,16,0,1,2020-02-13 15:13:11
Vietnam,Vietnam,108.277199,14.058324,16,0,7,2020-02-13 06:33:02
France,France,2.213749,46.227638,12,1,4,2020-02-15 20:53:02
China,Macau,104.195397,35.86166,10,0,5,2020-02-16 12:03:06
United Arab Emirates,United Arab Emirates,53.847818,23.424076,9,0,4,2020-02-16 20:43:02
Australia,Queensland,133.775136,-25.274398,5,0,0,2020-02-09 19:33:02
Australia,New South Wales,133.775136,-25.274398,4,0,4,2020-02-13 17:53:03
Australia,Victoria,133.775136,-25.274398,4,0,4,2020-02-13 17:53:03
Canada,British Columbia,-106.346771,56.130366,4,0,0,2020-02-07 05:43:03
India,India,78.96288,20.593684,3,0,3,2020-02-16 07:43:02
Italy,Italy,12.56738,41.87194,3,0,0,2020-02-07 17:53:02
Philippines,Philippines,121.774017,12.879721,3,1,1,2020-02-12 07:43:02
Australia,South Australia,133.775136,-25.274398,2,0,0,2020-02-02 22:33:07
Canada,"Toronto, ON",-106.346771,56.130366,2,0,0,2020-02-04 00:13:06
Russia,Russia,105.318756,61.52401,2,0,2,2020-02-12 14:43:03
Spain,Spain,-3.74922,40.463667,2,0,2,2020-02-15 17:23:04
Belgium,Belgium,4.469936,50.503887,1,0,0,2020-02-04 15:43:02
Cambodia,Cambodia,104.990963,12.565679,1,0,1,2020-02-12 07:43:02
Canada,"London, ON",-106.346771,56.130366,1,0,1,2020-02-12 18:53:03
Egypt,Egypt,30.802498,26.820553,1,0,0,2020-02-14 23:53:02
Finland,Finland,25.748151,61.92411,1,0,1,2020-02-12 00:03:12
China,Tibet,104.195397,35.86166,1,0,1,2020-02-12 06:43:02
Nepal,Nepal,84.124008,28.394857,1,0,1,2020-02-12 14:43:03
Sri Lanka,Sri Lanka,80.771797,7.873054,1,0,1,2020-02-08 03:43:03
Sweden,Sweden,18.643501,60.128161,1,0,0,2020-02-01 02:13:26
