Country,Province,Longitude,Latitude,ConfirmedCount,DeadCount,CuredCount,LastUpdateTime
China,Hubei,112.2707,30.9756,67217,2835,36208,2020-03-03 11:43:02
South Korea,South Korea,128.0,36.0,5186,28,30,2020-03-03 09:43:02
Italy,Italy,12.0,43.0,2502,79,160,2020-03-03 20:03:06
Iran,Iran,53.0,32.0,2336,77,291,2020-03-03 14:23:03
China,Guangdong,113.4244,23.3417,1350,7,1101,2020-03-03 10:23:10
China,Henan,113.614,33.882,1272,22,1231,2020-03-03 09:43:02
China,Zhejiang,120.0934,29.1832,1213,1,1093,2020-03-03 12:33:02
China,Hunan,111.7088,27.6104,1018,4,906,2020-03-03 13:03:04
China,Anhui,117.2264,31.8257,990,6,936,2020-03-03 14:33:03
China,Jiangxi,115.7221,27.614,935,1,870,2020-03-03 02:03:11
China,Shandong,118.1498,36.3427,758,6,511,2020-03-03 07:53:03
Others,Diamond Princess cruise ship,139.638,35.4437,706,6,10,2020-03-03 03:13:06
China,Jiangsu,119.455,32.9711,631,0,562,2020-03-03 11:03:09
China,Chongqing,107.874,30.0572,576,6,490,2020-03-03 23:13:05
China,Sichuan,102.7103,30.6171,538,3,394,2020-03-03 09:33:02
China,Heilongjiang,127.7615,47.862,480,13,366,2020-03-03 13:03:04
China,Beijing,116.4142,40.1824,414,8,288,2020-03-03 02:03:11
China,Shanghai,121.4491,31.202,338,3,294,2020-03-03 03:43:02
China,Hebei,114.5149,38.0428,318,6,300,2020-03-03 09:33:02
China,Fujian,117.9874,26.0789,296,1,260,2020-03-03 13:43:03
Japan,Japan,138.0,36.0,293,6,43,2020-03-03 20:03:06
China,Guangxi,108.7881,23.8298,252,2,202,2020-03-03 00:23:14
China,Shaanxi,108.8701,35.1917,245,1,216,2020-03-02 08:03:12
France,France,2.0,47.0,204,4,12,2020-03-03 15:23:03
Germany,Germany,9.0,51.0,196,0,16,2020-03-03 20:03:06
China,Yunnan,101.487,24.974,174,2,169,2020-03-03 03:43:02
China,Hainan,109.7453,19.1959,168,5,155,2020-03-03 23:43:02
Spain,Spain,-4.0,40.0,165,1,2,2020-03-03 23:53:03
China,Guizhou,106.8748,26.8154,146,2,114,2020-03-02 01:13:06
China,Tianjin,117.323,39.3054,136,3,124,2020-03-03 11:43:02
China,Shanxi,112.2922,37.5777,133,0,124,2020-03-03 23:13:05
China,Liaoning,122.6085,41.2956,125,1,106,2020-03-03 14:33:03
Singapore,Singapore,103.8333,1.2833,110,0,78,2020-03-03 15:23:03
China,Hong Kong,114.2,22.3,100,2,37,2020-03-03 11:53:01
China,Jilin,126.1923,43.6661,93,1,83,2020-03-02 15:03:23
China,Gansu,103.8343,36.0611,91,2,86,2020-03-03 13:43:03
China,Xinjiang,85.2401,41.1129,76,3,68,2020-03-03 07:33:03
China,Inner Mongolia,113.9448,44.0935,75,1,59,2020-03-03 09:23:02
China,Ningxia,106.1655,37.2692,74,0,69,2020-03-02 01:33:02
Kuwait,Kuwait,47.75,29.5,56,0,0,2020-03-02 20:33:02
Switzerland,Switzerland,8.2275,46.8182,56,0,2,2020-03-03 16:43:02
UK,UK,-3.0,55.0,51,0,8,2020-03-03 15:13:26
Bahrain,Bahrain,50.55,26.0275,49,0,0,2020-03-02 20:33:02
US,Unassigned Location (From Diamond Princess),139.638,35.4437,45,0,0,2020-03-02 19:53:03
Thailand,Thailand,101.0,15.0,43,1,31,2020-03-02 06:23:04
China,Taiwan,121.0,23.7,42,1,12,2020-03-03 06:43:02
Malaysia,Malaysia,112.5,2.5,36,0,22,2020-03-03 12:33:02
Iraq,Iraq,44.0,33.0,32,0,0,2020-03-03 20:03:06
Norway,Norway,8.4689,60.472,32,0,0,2020-03-03 14:33:03
United Arab Emirates,United Arab Emirates,54.0,24.0,27,0,5,2020-03-03 23:43:02
Netherlands,Netherlands,5.2913,52.1326,24,0,0,2020-03-03 15:13:26
Austria,Austria,14.5501,47.5162,21,0,0,2020-03-03 15:13:26
Sweden,Sweden,16.0,63.0,21,0,0,2020-03-03 15:13:26
US,"King County, WA",-121.9836,47.548,21,6,1,2020-03-03 20:23:05
Canada,"Toronto, ON",-79.3832,43.6532,19,0,2,2020-03-03 20:03:08
China,Qinghai,95.9956,35.7452,18,0,18,2020-02-21 04:43:02
Vietnam,Vietnam,108.0,16.0,16,0,16,2020-02-25 08:53:02
Australia,New South Wales,151.2093,-33.8688,13,0,4,2020-03-03 15:13:26
Belgium,Belgium,4.0,50.8333,13,0,1,2020-03-03 15:13:26
Lebanon,Lebanon,35.8623,33.8547,13,0,0,2020-03-02 20:53:02
Israel,Israel,35.0,31.0,12,0,1,2020-03-03 04:23:07
Oman,Oman,57.0,21.0,12,0,2,2020-03-03 15:23:03
Australia,Queensland,153.4,-28.0167,11,0,1,2020-03-03 15:23:03
Iceland,Iceland,-19.0208,64.9631,11,0,0,2020-03-03 15:13:26
US,"Santa Clara, CA",-121.9552,37.3541,11,0,1,2020-03-03 23:33:03
China,Macau,113.55,22.1667,10,0,9,2020-03-03 12:33:02
San Marino,San Marino,12.4578,43.9424,10,1,0,2020-03-03 15:23:03
Australia,Victoria,144.9631,-37.8136,9,0,4,2020-03-02 00:53:03
Canada,British Columbia,-123.1207,49.2827,9,0,3,2020-03-03 23:53:03
Croatia,Croatia,15.5,45.1667,9,0,0,2020-03-03 09:53:08
Ecuador,Ecuador,-78.1834,-1.8312,7,0,0,2020-03-03 15:13:26
Greece,Greece,21.8243,39.0742,7,0,0,2020-03-01 23:23:02
Qatar,Qatar,51.1839,25.3548,7,0,0,2020-03-03 03:23:03
Denmark,Denmark,9.5018,56.2639,6,0,0,2020-03-03 15:13:26
Finland,Finland,26.0,64.0,6,0,1,2020-03-01 23:23:02
US,"Snohomish County, WA",-121.8339,48.033,6,1,0,2020-03-03 20:23:05
Algeria,Algeria,1.6596,28.0339,5,0,0,2020-03-03 03:23:03
Czech Republic,Czech Republic,15.473,49.8175,5,0,0,2020-03-03 15:13:26
India,India,78.0,21.0,5,0,3,2020-03-02 22:33:09
Mexico,Mexico,-102.0,23.0,5,0,1,2020-03-03 10:03:04
Pakistan,Pakistan,69.3451,30.3753,5,0,0,2020-03-03 04:33:03
US,"Cook County, IL",-87.6976,41.7377,4,0,2,2020-03-02 20:33:02
Australia,South Australia,138.6007,-34.9285,3,0,2,2020-02-29 02:03:10
Azerbaijan,Azerbaijan,47.5769,40.1431,3,0,0,2020-03-01 02:43:03
Georgia,Georgia,43.3569,42.3154,3,0,0,2020-03-01 15:43:03
Philippines,Philippines,122.0,13.0,3,1,1,2020-02-12 07:43:02
Romania,Romania,25.0,46.0,3,0,0,2020-03-03 00:23:16
Russia,Russia,90.0,60.0,3,0,2,2020-03-02 21:23:04
Australia,Western Australia,115.8605,-31.9505,2,1,0,2020-03-01 02:43:03
Brazil,Brazil,-51.9253,-14.235,2,0,0,2020-02-29 21:03:05
Egypt,Egypt,30.0,26.0,2,0,1,2020-03-01 23:33:03
Estonia,Estonia,25.0136,58.5953,2,0,0,2020-03-03 23:53:03
Indonesia,Indonesia,113.9213,-0.7893,2,0,0,2020-03-02 18:03:04
Ireland,Ireland,-7.6921,53.1424,2,0,0,2020-03-03 23:53:03
Portugal,Portugal,-8.2245,39.3999,2,0,0,2020-03-03 15:33:02
Senegal,Senegal,-14.4524,14.4974,2,0,0,2020-03-03 23:53:03
US,"Fulton County, GA",-84.3963,33.8034,2,0,0,2020-03-03 03:33:02
US,"Grafton County, NH",-71.826,43.9088,2,0,0,2020-03-03 23:33:03
US,"Hillsborough, FL",-82.3018,27.9904,2,0,0,2020-03-03 18:33:02
US,"Providence, RI",-71.4128,41.824,2,0,0,2020-03-02 03:43:02
US,"Sacramento County, CA",-121.3542,38.4747,2,0,0,2020-02-27 20:33:02
US,"San Benito, CA",-120.9876,36.5761,2,0,0,2020-02-03 03:53:02
US,"San Diego County, CA",-117.1611,32.7157,2,0,1,2020-02-21 05:43:02
US,"San Mateo, CA",-122.3255,37.563,2,0,0,2020-03-03 00:43:02
US,"Washington County, OR",-123.1386,45.547,2,0,0,2020-03-03 03:03:02
