Country,Province,Longitude,Latitude,ConfirmedCount,DeadCount,CuredCount,LastUpdateTime
China,Hubei,104.195397,35.86166,64287,2495,16748,2020-02-24 11:13:09
China,Guangdong,104.195397,35.86166,1345,6,786,2020-02-24 10:23:02
China,Henan,104.195397,35.86166,1271,19,943,2020-02-24 13:23:05
China,Zhejiang,104.195397,35.86166,1205,1,782,2020-02-24 09:43:02
China,Hunan,104.195397,35.86166,1016,4,731,2020-02-24 14:13:11
China,Anhui,104.195397,35.86166,989,6,663,2020-02-24 09:43:02
China,Jiangxi,104.195397,35.86166,934,1,645,2020-02-24 01:23:09
South Korea,South Korea,-54.385628,-76.697372,833,8,18,2020-02-24 11:13:10
China,Shandong,104.195397,35.86166,755,5,343,2020-02-24 10:23:02
China,Jiangsu,104.195397,35.86166,631,0,452,2020-02-24 14:53:02
China,Chongqing,104.195397,35.86166,576,6,349,2020-02-24 23:23:01
China,Sichuan,104.195397,35.86166,527,3,276,2020-02-24 14:13:11
China,Heilongjiang,104.195397,35.86166,480,12,227,2020-02-24 14:53:02
China,Beijing,104.195397,35.86166,399,4,198,2020-02-24 00:53:02
China,Shanghai,104.195397,35.86166,335,3,261,2020-02-24 07:03:06
China,Hebei,104.195397,35.86166,311,6,234,2020-02-24 14:13:11
China,Fujian,104.195397,35.86166,293,1,183,2020-02-24 10:23:02
China,Guangxi,104.195397,35.86166,251,2,112,2020-02-24 06:53:02
China,Shaanxi,104.195397,35.86166,245,1,173,2020-02-24 14:53:02
Italy,Italy,12.56738,41.87194,229,7,1,2020-02-24 23:43:01
China,Yunnan,104.195397,35.86166,174,2,124,2020-02-24 23:13:02
China,Hainan,104.195397,35.86166,168,5,116,2020-02-24 14:53:02
Japan,Japan,138.252924,36.204824,159,1,22,2020-02-24 14:23:03
China,Guizhou,104.195397,35.86166,146,2,102,2020-02-23 12:43:02
China,Tianjin,104.195397,35.86166,135,3,87,2020-02-24 15:03:05
China,Shanxi,104.195397,35.86166,133,0,94,2020-02-24 23:13:02
China,Liaoning,104.195397,35.86166,121,1,80,2020-02-24 06:53:02
China,Jilin,104.195397,35.86166,93,1,60,2020-02-24 09:43:02
China,Gansu,104.195397,35.86166,91,2,80,2020-02-24 15:13:07
Singapore,Singapore,103.819836,1.352083,89,0,51,2020-02-23 15:13:15
China,Hong Kong,104.195397,35.86166,79,2,19,2020-02-24 11:23:06
China,Xinjiang,104.195397,35.86166,76,2,30,2020-02-24 15:03:05
China,Inner Mongolia,104.195397,35.86166,75,0,34,2020-02-24 15:03:05
China,Ningxia,104.195397,35.86166,71,0,58,2020-02-24 06:53:02
Iran,Iran,53.688046,32.427908,61,12,0,2020-02-24 11:13:10
Thailand,Thailand,100.992541,15.870032,35,0,21,2020-02-23 15:03:05
China,Taiwan,104.195397,35.86166,30,1,5,2020-02-24 10:13:28
Malaysia,Malaysia,101.975766,4.210484,22,0,18,2020-02-24 11:53:02
China,Qinghai,104.195397,35.86166,18,0,18,2020-02-21 04:43:02
Germany,Germany,10.451526,51.165691,16,0,14,2020-02-21 23:03:13
Vietnam,Vietnam,108.277199,14.058324,16,0,14,2020-02-21 06:03:04
United Arab Emirates,United Arab Emirates,53.847818,23.424076,13,0,4,2020-02-22 14:53:02
France,France,2.213749,46.227638,12,1,4,2020-02-15 20:53:02
China,Macau,104.195397,35.86166,10,0,6,2020-02-20 02:13:19
Australia,From Diamond Princess,133.775136,-25.274398,7,0,0,2020-02-22 17:03:05
Canada,British Columbia,-106.346771,56.130366,6,0,0,2020-02-21 05:23:04
Australia,Queensland,133.775136,-25.274398,5,0,1,2020-02-21 05:43:02
Australia,New South Wales,133.775136,-25.274398,4,0,4,2020-02-13 17:53:03
Australia,Victoria,133.775136,-25.274398,4,0,4,2020-02-13 17:53:03
Canada,"Toronto, ON",-106.346771,56.130366,3,0,2,2020-02-24 14:43:03
India,India,78.96288,20.593684,3,0,3,2020-02-16 07:43:02
Philippines,Philippines,121.774017,12.879721,3,1,1,2020-02-12 07:43:02
Australia,South Australia,133.775136,-25.274398,2,0,2,2020-02-17 08:13:09
Oman,Oman,55.923255,21.512583,2,0,0,2020-02-24 23:43:01
Russia,Russia,105.318756,61.52401,2,0,2,2020-02-12 14:43:03
Spain,Spain,-3.74922,40.463667,2,0,2,2020-02-15 17:23:04
Afghanistan,Afghanistan,67.709953,33.93911,1,0,0,2020-02-24 23:33:02
Bahrain,Bahrain,50.637772,25.930414,1,0,0,2020-02-24 23:33:02
Belgium,Belgium,4.469936,50.503887,1,0,1,2020-02-17 04:23:06
Cambodia,Cambodia,104.990963,12.565679,1,0,1,2020-02-12 07:43:02
Canada,"London, ON",-106.346771,56.130366,1,0,1,2020-02-12 18:53:03
Egypt,Egypt,30.802498,26.820553,1,0,0,2020-02-21 18:53:02
Finland,Finland,25.748151,61.92411,1,0,1,2020-02-12 00:03:12
Iraq,Iraq,43.679291,33.223191,1,0,0,2020-02-24 23:33:02
Israel,From Diamond Princess,34.851612,31.046051,1,0,0,2020-02-22 20:53:02
Kuwait,Kuwait,47.481766,29.31166,1,0,0,2020-02-24 23:33:02
Lebanon,Lebanon,35.862285,33.854721,1,0,0,2020-02-22 20:53:02
China,Tibet,104.195397,35.86166,1,0,1,2020-02-12 06:43:02
Nepal,Nepal,84.124008,28.394857,1,0,1,2020-02-12 14:43:03
Sri Lanka,Sri Lanka,80.771797,7.873054,1,0,1,2020-02-08 03:43:03
Sweden,Sweden,18.643501,60.128161,1,0,0,2020-02-01 02:13:26
