Country,Province,City,Longitude,Latitude,ConfirmedCount,DeadCount,CuredCount,LastUpdateTime
US,Nebraska,Antelope,-98.0666283,42.17695516,0,0,0,2020-03-26 23:48:35
US,Michigan,Antrim,-85.15503082,44.99690221,0,0,0,2020-03-26 23:48:35
US,Arizona,Apache,-109.4892383,35.39465006,9,0,0,2020-03-26 23:48:35
US,Iowa,Appanoose,-92.86865906,40.74324454,1,0,0,2020-03-26 23:48:35
US,Georgia,Appling,-82.28909114,31.74847232,0,0,0,2020-03-26 23:48:35
US,Virginia,Appomattox,-78.81340003,37.37569884,0,0,0,2020-03-26 23:48:35
US,Texas,Aransas,-96.9995047,28.10556197,0,0,0,2020-03-26 23:48:35
US,Colorado,Arapahoe,-104.3353617,39.64977461,119,0,0,2020-03-26 23:48:35
US,Texas,Archer,-98.68754589,33.61569967,0,0,0,2020-03-26 23:48:35
US,Colorado,Archuleta,-107.0476867,37.19474156,0,0,0,2020-03-26 23:48:35
US,Michigan,Arenac,-83.89277559,44.0636262,0,0,0,2020-03-26 23:48:35
US,Arkansas,Arkansas,-91.37277296,34.29145151,0,0,0,2020-03-26 23:48:35
US,Virginia,Arlington,-77.10139853,38.8767675,54,0,0,2020-03-26 23:48:35
US,Pennsylvania,Armstrong,-79.46290811,40.81665618,1,0,0,2020-03-26 23:48:35
US,Texas,Armstrong,-101.3574874,34.96507426,0,0,0,2020-03-26 23:48:35
US,Maine,Aroostook,-68.59841248,46.65926321,0,0,0,2020-03-26 23:48:35
US,Nebraska,Arthur,-101.6959559,41.56896142,0,0,0,2020-03-26 23:48:35
US,Louisiana,Ascension,-90.91328409999998,30.20406249,91,1,0,2020-03-26 23:48:35
US,North Carolina,Ashe,-81.49862729,36.43296207,0,0,0,2020-03-26 23:48:35
US,Ohio,Ashland,-82.27280781,40.84772277,1,0,0,2020-03-26 23:48:35
US,Wisconsin,Ashland,-90.67837132,46.31956891,0,0,0,2020-03-26 23:48:35
US,Arkansas,Ashley,-91.7698471,33.19153461,0,0,0,2020-03-26 23:48:35
US,Ohio,Ashtabula,-80.74830218,41.70860332,3,0,0,2020-03-26 23:48:35
US,Washington,Asotin,-117.2022851,46.18894415,0,0,0,2020-03-26 23:48:35
US,Louisiana,Assumption,-91.06461642,29.89946234,5,0,0,2020-03-26 23:48:35
US,Texas,Atascosa,-98.52730485,28.89333001,2,0,0,2020-03-26 23:48:35
US,Kansas,Atchison,-95.30870026,39.53185661,0,0,0,2020-03-26 23:48:35
US,Missouri,Atchison,-95.42970639,40.43238737,1,0,0,2020-03-26 23:48:35
US,Ohio,Athens,-82.04278644,39.33425634,1,0,0,2020-03-26 23:48:35
US,Georgia,Atkinson,-82.87545866,31.29633502,0,0,0,2020-03-26 23:48:35
US,New Jersey,Atlantic,-74.65848483,39.47538693,10,0,0,2020-03-26 23:48:35
US,Oklahoma,Atoka,-96.03802487,34.37366573,0,0,0,2020-03-26 23:48:35
US,Mississippi,Attala,-89.57838564,33.08658803,7,0,0,2020-03-26 23:48:35
US,Missouri,Audrain,-91.84242683,39.215877,0,0,0,2020-03-26 23:48:35
US,Iowa,Audubon,-94.90581859,41.6844628,0,0,0,2020-03-26 23:48:35
US,Ohio,Auglaize,-84.22421429999999,40.55998859,0,0,0,2020-03-26 23:48:35
US,Virginia,Augusta,-79.12461614,38.16404586,0,0,0,2020-03-26 23:48:35
US,South Dakota,Aurora,-98.56050467,43.71757685,0,0,0,2020-03-26 23:48:35
US,Texas,Austin,-96.27736949,29.88548725,1,0,0,2020-03-26 23:48:35
US,Alabama,Autauga,-86.64408227,32.53952745,6,0,0,2020-03-26 23:48:35
US,North Carolina,Avery,-81.92308483,36.07569796,0,0,0,2020-03-26 23:48:35
US,Louisiana,Avoyelles,-92.00079449,31.07796211,7,0,0,2020-03-26 23:48:35
US,Colorado,Baca,-102.5603223,37.31940883,0,0,0,2020-03-26 23:48:35
US,Georgia,Bacon,-82.45936528,31.55456473,0,0,0,2020-03-26 23:48:35
