Country,Province,Longitude,Latitude,ConfirmedCount,DeadCount,CuredCount,LastUpdateTime
China,Hubei,104.195397,35.86166,65187,2615,20969,2020-02-26 14:13:10
China,Guangdong,104.195397,35.86166,1347,7,851,2020-02-26 10:33:02
China,Henan,104.195397,35.86166,1271,19,1033,2020-02-26 10:33:02
South Korea,South Korea,-54.385628,-76.697372,1261,12,22,2020-02-26 11:03:11
China,Zhejiang,104.195397,35.86166,1205,1,867,2020-02-26 10:33:02
China,Hunan,104.195397,35.86166,1016,4,783,2020-02-26 10:13:11
China,Anhui,104.195397,35.86166,989,6,744,2020-02-26 10:13:11
China,Jiangxi,104.195397,35.86166,934,1,719,2020-02-26 01:13:04
China,Shandong,104.195397,35.86166,756,6,377,2020-02-26 12:43:02
China,Jiangsu,104.195397,35.86166,631,0,478,2020-02-26 10:13:11
China,Chongqing,104.195397,35.86166,576,6,384,2020-02-26 23:43:02
China,Sichuan,104.195397,35.86166,531,3,307,2020-02-26 10:13:11
China,Heilongjiang,104.195397,35.86166,480,12,249,2020-02-26 10:33:02
Italy,Italy,12.56738,41.87194,453,12,3,2020-02-26 23:43:03
China,Beijing,104.195397,35.86166,400,4,235,2020-02-26 00:53:02
China,Shanghai,104.195397,35.86166,337,3,272,2020-02-26 23:53:01
China,Hebei,104.195397,35.86166,312,6,261,2020-02-26 10:33:02
China,Fujian,104.195397,35.86166,294,1,218,2020-02-26 10:33:02
China,Guangxi,104.195397,35.86166,252,2,147,2020-02-26 14:13:10
China,Shaanxi,104.195397,35.86166,245,1,192,2020-02-26 14:13:10
Japan,Japan,138.252924,36.204824,189,2,22,2020-02-26 23:43:03
China,Yunnan,104.195397,35.86166,174,2,144,2020-02-26 05:13:16
China,Hainan,104.195397,35.86166,168,5,129,2020-02-26 12:43:02
China,Guizhou,104.195397,35.86166,146,2,104,2020-02-25 08:03:07
Iran,Iran,53.688046,32.427908,139,19,49,2020-02-26 23:43:03
China,Tianjin,104.195397,35.86166,135,3,96,2020-02-26 12:43:02
China,Shanxi,104.195397,35.86166,133,0,104,2020-02-26 14:13:10
China,Liaoning,104.195397,35.86166,121,1,88,2020-02-26 00:13:05
China,Jilin,104.195397,35.86166,93,1,65,2020-02-26 14:13:10
Singapore,Singapore,103.819836,1.352083,93,0,62,2020-02-26 19:33:02
China,Hong Kong,104.195397,35.86166,91,2,24,2020-02-26 23:43:02
China,Gansu,104.195397,35.86166,91,2,81,2020-02-26 14:13:10
China,Xinjiang,104.195397,35.86166,76,2,34,2020-02-26 14:23:03
China,Inner Mongolia,104.195397,35.86166,75,0,38,2020-02-26 15:03:05
China,Ningxia,104.195397,35.86166,71,0,65,2020-02-26 03:53:01
Thailand,Thailand,100.992541,15.870032,40,0,22,2020-02-26 07:23:03
Bahrain,Bahrain,50.637772,25.930414,33,0,0,2020-02-26 21:03:07
China,Taiwan,104.195397,35.86166,32,1,5,2020-02-26 12:23:04
Germany,Germany,10.451526,51.165691,27,0,15,2020-02-26 23:43:03
Kuwait,Kuwait,47.481766,29.31166,26,0,0,2020-02-26 19:23:04
Malaysia,Malaysia,101.975766,4.210484,22,0,18,2020-02-24 11:53:02
France,France,2.213749,46.227638,18,2,11,2020-02-26 20:03:06
China,Qinghai,104.195397,35.86166,18,0,18,2020-02-21 04:43:02
Vietnam,Vietnam,108.277199,14.058324,16,0,16,2020-02-25 08:53:02
Spain,Spain,-3.74922,40.463667,13,0,2,2020-02-26 20:43:02
United Arab Emirates,United Arab Emirates,53.847818,23.424076,13,0,4,2020-02-22 14:53:02
China,Macau,104.195397,35.86166,10,0,7,2020-02-25 15:23:04
Australia,From Diamond Princess,133.775136,-25.274398,7,0,0,2020-02-22 17:03:05
Canada,British Columbia,-106.346771,56.130366,7,0,0,2020-02-25 02:23:05
Australia,Queensland,133.775136,-25.274398,5,0,1,2020-02-21 05:43:02
Iraq,Iraq,43.679291,33.223191,5,0,0,2020-02-26 04:53:02
Australia,New South Wales,133.775136,-25.274398,4,0,4,2020-02-13 17:53:03
Australia,Victoria,133.775136,-25.274398,4,0,4,2020-02-13 17:53:03
Oman,Oman,55.923255,21.512583,4,0,0,2020-02-26 04:53:02
Canada,"Toronto, ON",-106.346771,56.130366,3,0,2,2020-02-24 14:43:03
Croatia,Croatia,15.2,45.1,3,0,0,2020-02-26 20:03:06
India,India,78.96288,20.593684,3,0,3,2020-02-16 07:43:02
Philippines,Philippines,121.774017,12.879721,3,1,1,2020-02-12 07:43:02
Australia,South Australia,133.775136,-25.274398,2,0,2,2020-02-17 08:13:09
Austria,Austria,14.550072,47.516231,2,0,0,2020-02-26 00:13:06
Finland,Finland,25.748151,61.92411,2,0,1,2020-02-26 19:03:08
Israel,Israel,34.851612,31.046051,2,0,0,2020-02-26 20:33:02
Lebanon,Lebanon,35.862285,33.854721,2,0,0,2020-02-26 19:33:02
Pakistan,Pakistan,69.345116,30.375321,2,0,0,2020-02-26 23:53:02
Russia,Russia,105.318756,61.52401,2,0,2,2020-02-12 14:43:03
Sweden,Sweden,18.643501,60.128161,2,0,0,2020-02-26 18:53:02
Afghanistan,Afghanistan,67.709953,33.93911,1,0,0,2020-02-24 23:33:02
Algeria,Algeria,1.659626,28.033886,1,0,0,2020-02-25 23:43:03
Belgium,Belgium,4.469936,50.503887,1,0,1,2020-02-17 04:23:06
Brazil,Brazil,-51.92528,-14.235004,1,0,0,2020-02-26 23:53:02
Cambodia,Cambodia,104.990963,12.565679,1,0,1,2020-02-12 07:43:02
Canada,"London, ON",-106.346771,56.130366,1,0,1,2020-02-12 18:53:03
Egypt,Egypt,30.802498,26.820553,1,0,0,2020-02-21 18:53:02
Georgia,Georgia,43.356892,42.315407,1,0,0,2020-02-26 19:03:08
Greece,Greece,21.824312,39.074208,1,0,0,2020-02-26 15:53:05
China,Tibet,104.195397,35.86166,1,0,1,2020-02-12 06:43:02
Nepal,Nepal,84.124008,28.394857,1,0,1,2020-02-12 14:43:03
Norway,Norway,8.468946,60.472024,1,0,0,2020-02-26 20:23:12
Romania,Romania,24.96676,45.943161,1,0,0,2020-02-26 23:43:03
Sri Lanka,Sri Lanka,80.771797,7.873054,1,0,1,2020-02-08 03:43:03
Switzerland,Switzerland,8.227512,46.818188,1,0,0,2020-02-25 19:13:21
