Country,Province,Longitude,Latitude,ConfirmedCount,DeadCount,CuredCount,LastUpdateTime
China,Hubei,112.2707,30.9756,67790,3075,52960,2020-03-14 10:13:09
Italy,Italy,12.5674,41.8719,21157,1441,1966,2020-03-14 20:13:16
Iran,Iran,53.688,32.4279,12729,611,2959,2020-03-14 11:33:06
"Korea, South","Korea, South",127.7669,35.9078,8086,72,510,2020-03-14 01:33:02
Spain,Spain,-3.7492,40.4637,6391,195,517,2020-03-14 22:13:11
Germany,Germany,10.4515,51.1657,4585,9,46,2020-03-14 22:13:11
France,France,2.2137,46.2276,4469,91,12,2020-03-14 20:13:16
Switzerland,Switzerland,8.2275,46.8182,1359,13,4,2020-03-14 11:53:29
China,Guangdong,113.4244,23.3417,1356,8,1299,2020-03-14 01:13:11
China,Henan,113.614,33.882,1273,22,1250,2020-03-14 09:53:08
China,Zhejiang,120.0934,29.1832,1227,1,1211,2020-03-14 02:14:15
United Kingdom,United Kingdom,-3.436,55.3781,1140,21,18,2020-03-14 14:53:04
Norway,Norway,8.4689,60.472,1090,3,1,2020-03-14 22:13:11
China,Hunan,111.7088,27.6104,1018,4,1014,2020-03-14 08:33:03
China,Anhui,117.2264,31.8257,990,6,984,2020-03-11 02:18:14
Sweden,Sweden,18.6435,60.1282,961,2,1,2020-03-14 22:13:11
Netherlands,Netherlands,5.2913,52.1326,959,12,2,2020-03-14 22:13:11
China,Jiangxi,115.7221,27.614,935,1,934,2020-03-12 02:13:04
Denmark,Denmark,9.5018,56.2639,827,1,1,2020-03-14 22:13:32
Japan,Japan,138.2529,36.2048,773,22,118,2020-03-14 22:33:03
China,Shandong,118.1498,36.3427,760,7,741,2020-03-14 04:33:02
Cruise Ship,Diamond Princess,139.6649,35.4498,696,7,325,2020-03-13 14:13:25
Belgium,Belgium,4.4699,50.5039,689,4,1,2020-03-14 11:53:29
Austria,Austria,14.5501,47.5162,655,1,6,2020-03-14 16:13:55
China,Jiangsu,119.455,32.9711,631,0,630,2020-03-13 11:09:03
China,Chongqing,107.874,30.0572,576,6,569,2020-03-14 23:53:02
US,Washington,-121.4905,47.4009,572,37,1,2020-03-14 22:13:19
China,Sichuan,102.7103,30.6171,539,3,511,2020-03-14 04:33:02
US,New York,-74.9481,42.1657,525,2,0,2020-03-14 22:13:32
China,Heilongjiang,127.7615,47.862,482,13,447,2020-03-14 00:13:05
China,Beijing,116.4142,40.1824,437,8,349,2020-03-14 02:13:47
China,Shanghai,121.4491,31.202,353,3,324,2020-03-14 23:53:02
US,California,-119.6816,36.1162,340,5,6,2020-03-14 22:13:32
Qatar,Qatar,51.1839,25.3548,337,0,4,2020-03-14 22:33:03
China,Hebei,114.5149,38.0428,318,6,310,2020-03-13 11:09:03
China,Fujian,117.9874,26.0789,296,1,295,2020-03-11 02:18:14
China,Guangxi,108.7881,23.8298,252,2,243,2020-03-13 11:09:03
China,Shaanxi,108.8701,35.1917,245,2,232,2020-03-12 01:33:02
Malaysia,Malaysia,101.9758,4.2105,238,0,35,2020-03-14 16:13:55
Greece,Greece,21.8243,39.0742,228,3,8,2020-03-14 22:33:03
Finland,Finland,25.7482,61.9241,225,0,1,2020-03-14 22:33:03
Singapore,Singapore,103.8198,1.3521,212,0,105,2020-03-14 16:14:30
Bahrain,Bahrain,50.5577,26.0667,210,0,44,2020-03-14 11:53:29
Israel,Israel,34.8516,31.0461,193,0,4,2020-03-14 20:13:16
Czechia,Czechia,15.473,49.8175,189,0,0,2020-03-14 20:13:16
Slovenia,Slovenia,14.9955,46.1512,181,1,0,2020-03-14 22:33:03
China,Yunnan,101.487,24.974,174,2,172,2020-03-14 23:33:02
Portugal,Portugal,-8.2245,39.3999,169,0,2,2020-03-14 16:14:47
China,Hainan,109.7453,19.1959,168,6,160,2020-03-12 03:53:02
Iceland,Iceland,-19.0208,64.9631,156,0,1,2020-03-14 14:53:04
Brazil,Brazil,-51.9253,-14.235,151,0,0,2020-03-13 22:21:58
China,Guizhou,106.8748,26.8154,146,2,143,2020-03-14 00:53:03
China,Hong Kong,114.2,22.3,140,4,78,2020-03-14 12:53:06
US,Massachusetts,-71.5301,42.2302,138,0,1,2020-03-14 22:13:19
China,Tianjin,117.323,39.3054,136,3,132,2020-03-12 01:53:03
China,Shanxi,112.2922,37.5777,133,0,133,2020-03-13 11:09:03
China,Gansu,103.8343,36.0611,129,2,89,2020-03-14 03:13:08
Ireland,Ireland,-7.6921,53.1424,129,2,0,2020-03-14 20:13:16
China,Liaoning,122.6085,41.2956,125,1,113,2020-03-14 00:13:05
Romania,Romania,24.9668,45.9432,123,0,9,2020-03-14 22:33:03
Estonia,Estonia,25.0136,58.5953,115,0,0,2020-03-14 20:33:03
Australia,New South Wales,151.2093,-33.8688,112,2,4,2020-03-14 13:33:04
Philippines,Philippines,121.774,12.8797,111,8,2,2020-03-14 20:33:03
Iraq,Iraq,43.6793,33.2232,110,10,26,2020-03-14 22:33:03
Egypt,Egypt,30.8025,26.8206,109,2,27,2020-03-14 22:33:03
Kuwait,Kuwait,47.4818,29.3117,104,0,5,2020-03-14 16:14:34
Poland,Poland,19.1451,51.9194,103,3,0,2020-03-14 22:53:02
Saudi Arabia,Saudi Arabia,45.0792,23.8859,103,0,1,2020-03-14 20:33:03
India,India,78.9629,20.5937,102,2,4,2020-03-14 20:33:03
US,Colorado,-105.3111,39.0598,101,1,0,2020-03-14 22:13:32
Indonesia,Indonesia,113.9213,-0.7893,96,5,8,2020-03-14 22:53:02
China,Jilin,126.1923,43.6661,93,1,91,2020-03-13 11:09:03
Lebanon,Lebanon,35.8623,33.8547,93,3,1,2020-03-14 12:13:12
United Arab Emirates,United Arab Emirates,53.8478,23.4241,85,0,17,2020-03-13 22:21:58
Thailand,Thailand,100.9925,15.87,82,1,35,2020-03-14 12:13:12
San Marino,San Marino,12.4578,43.9424,80,5,4,2020-03-14 22:53:02
Canada,Ontario,-85.3232,51.2538,79,0,4,2020-03-14 13:13:25
US,Louisiana,-91.8678,31.1695,77,1,0,2020-03-14 22:13:32
China,Xinjiang,85.2401,41.1129,76,3,73,2020-03-11 02:18:14
US,Florida,-81.6868,27.7663,76,3,0,2020-03-14 18:53:03
China,Inner Mongolia,113.9448,44.0935,75,1,71,2020-03-11 03:53:03
China,Ningxia,106.1655,37.2692,75,0,73,2020-03-14 09:53:08
US,New Jersey,-74.521,40.2989,69,1,0,2020-03-14 22:13:32
US,Georgia,-83.6431,33.0406,66,1,0,2020-03-14 17:53:03
Canada,British Columbia,-127.6476,53.7267,64,1,4,2020-03-14 00:13:05
US,Illinois,-88.9861,40.3495,64,0,2,2020-03-14 22:33:04
Chile,Chile,-71.543,-35.6751,61,0,0,2020-03-14 20:33:03
Russia,Russia,105.3188,61.524,59,0,8,2020-03-14 22:53:02
US,Texas,-97.5635,31.0545,57,0,0,2020-03-14 22:33:03
Taiwan*,Taiwan*,121.0,23.7,53,1,20,2020-03-14 07:13:11
Vietnam,Vietnam,108.2772,14.0583,53,0,16,2020-03-14 12:13:12
Luxembourg,Luxembourg,6.1296,49.8153,51,1,0,2020-03-14 20:33:03
Australia,Victoria,144.9631,-37.8136,49,0,8,2020-03-14 13:33:04
