Country,Province,Longitude,Latitude,ConfirmedCount,DeadCount,CuredCount,LastUpdateTime
China,Hubei,104.195397,35.86166,64786,2563,18971,2020-02-25 15:23:04
China,Guangdong,104.195397,35.86166,1347,7,822,2020-02-25 08:53:02
China,Henan,104.195397,35.86166,1271,19,1002,2020-02-25 12:43:02
China,Zhejiang,104.195397,35.86166,1205,1,808,2020-02-25 09:13:05
China,Hunan,104.195397,35.86166,1016,4,768,2020-02-25 15:03:05
China,Anhui,104.195397,35.86166,989,6,712,2020-02-25 06:33:02
South Korea,South Korea,-54.385628,-76.697372,977,10,22,2020-02-25 08:13:19
China,Jiangxi,104.195397,35.86166,934,1,683,2020-02-25 15:03:05
China,Shandong,104.195397,35.86166,756,6,355,2020-02-25 12:53:02
China,Jiangsu,104.195397,35.86166,631,0,458,2020-02-25 00:53:02
China,Chongqing,104.195397,35.86166,576,6,372,2020-02-25 23:23:03
China,Sichuan,104.195397,35.86166,529,3,289,2020-02-25 15:03:05
China,Heilongjiang,104.195397,35.86166,480,12,243,2020-02-25 15:23:04
China,Beijing,104.195397,35.86166,400,4,215,2020-02-25 01:33:02
China,Shanghai,104.195397,35.86166,336,3,268,2020-02-25 06:33:02
Italy,Italy,12.56738,41.87194,322,10,1,2020-02-25 18:55:32
China,Hebei,104.195397,35.86166,311,6,248,2020-02-25 12:43:02
China,Fujian,104.195397,35.86166,294,1,199,2020-02-25 10:03:07
China,Guangxi,104.195397,35.86166,252,2,134,2020-02-25 10:03:07
China,Shaanxi,104.195397,35.86166,245,1,186,2020-02-25 15:23:04
China,Yunnan,104.195397,35.86166,174,2,129,2020-02-25 04:53:02
Japan,Japan,138.252924,36.204824,170,1,22,2020-02-25 14:53:03
China,Hainan,104.195397,35.86166,168,5,124,2020-02-25 12:53:02
China,Guizhou,104.195397,35.86166,146,2,104,2020-02-25 08:03:07
China,Tianjin,104.195397,35.86166,135,3,91,2020-02-25 15:23:04
China,Shanxi,104.195397,35.86166,133,0,98,2020-02-25 23:13:03
China,Liaoning,104.195397,35.86166,121,1,83,2020-02-25 00:23:03
Iran,Iran,53.688046,32.427908,95,16,0,2020-02-25 14:53:03
China,Jilin,104.195397,35.86166,93,1,63,2020-02-25 15:23:04
China,Gansu,104.195397,35.86166,91,2,80,2020-02-24 15:13:07
Singapore,Singapore,103.819836,1.352083,91,0,53,2020-02-25 18:55:32
China,Hong Kong,104.195397,35.86166,84,2,19,2020-02-25 09:43:02
China,Xinjiang,104.195397,35.86166,76,2,30,2020-02-24 15:03:05
China,Inner Mongolia,104.195397,35.86166,75,0,35,2020-02-25 23:53:02
China,Ningxia,104.195397,35.86166,71,0,61,2020-02-25 03:53:02
Thailand,Thailand,100.992541,15.870032,37,0,22,2020-02-25 08:53:02
China,Taiwan,104.195397,35.86166,31,1,5,2020-02-25 06:53:02
Bahrain,Bahrain,50.637772,25.930414,23,0,0,2020-02-25 18:55:32
Malaysia,Malaysia,101.975766,4.210484,22,0,18,2020-02-24 11:53:02
China,Qinghai,104.195397,35.86166,18,0,18,2020-02-21 04:43:02
Germany,Germany,10.451526,51.165691,17,0,14,2020-02-25 21:33:02
Vietnam,Vietnam,108.277199,14.058324,16,0,16,2020-02-25 08:53:02
France,France,2.213749,46.227638,14,1,11,2020-02-25 21:23:03
United Arab Emirates,United Arab Emirates,53.847818,23.424076,13,0,4,2020-02-22 14:53:02
Kuwait,Kuwait,47.481766,29.31166,11,0,0,2020-02-25 23:43:03
China,Macau,104.195397,35.86166,10,0,7,2020-02-25 15:23:04
Australia,From Diamond Princess,133.775136,-25.274398,7,0,0,2020-02-22 17:03:05
Canada,British Columbia,-106.346771,56.130366,7,0,0,2020-02-25 02:23:05
Spain,Spain,-3.74922,40.463667,6,0,2,2020-02-25 21:33:02
Australia,Queensland,133.775136,-25.274398,5,0,1,2020-02-21 05:43:02
Australia,New South Wales,133.775136,-25.274398,4,0,4,2020-02-13 17:53:03
Australia,Victoria,133.775136,-25.274398,4,0,4,2020-02-13 17:53:03
Canada,"Toronto, ON",-106.346771,56.130366,3,0,2,2020-02-24 14:43:03
India,India,78.96288,20.593684,3,0,3,2020-02-16 07:43:02
Philippines,Philippines,121.774017,12.879721,3,1,1,2020-02-12 07:43:02
Australia,South Australia,133.775136,-25.274398,2,0,2,2020-02-17 08:13:09
Austria,None,14.550072,47.516231,2,0,0,2020-02-25 18:55:32
Oman,Oman,55.923255,21.512583,2,0,0,2020-02-25 01:13:09
Russia,Russia,105.318756,61.52401,2,0,2,2020-02-12 14:43:03
Afghanistan,Afghanistan,67.709953,33.93911,1,0,0,2020-02-24 23:33:02
Algeria,Algeria,1.659626,28.033886,1,0,0,2020-02-25 23:43:03
Belgium,Belgium,4.469936,50.503887,1,0,1,2020-02-17 04:23:06
Cambodia,Cambodia,104.990963,12.565679,1,0,1,2020-02-12 07:43:02
Canada,"London, ON",-106.346771,56.130366,1,0,1,2020-02-12 18:53:03
Croatia,Croatia,15.2,45.1,1,0,0,2020-02-25 18:55:32
Egypt,Egypt,30.802498,26.820553,1,0,0,2020-02-21 18:53:02
Finland,Finland,25.748151,61.92411,1,0,1,2020-02-12 00:03:12
Iraq,Iraq,43.679291,33.223191,1,0,0,2020-02-24 23:33:02
Israel,From Diamond Princess,34.851612,31.046051,1,0,0,2020-02-22 20:53:02
Lebanon,Lebanon,35.862285,33.854721,1,0,0,2020-02-22 20:53:02
China,Tibet,104.195397,35.86166,1,0,1,2020-02-12 06:43:02
Nepal,Nepal,84.124008,28.394857,1,0,1,2020-02-12 14:43:03
Sri Lanka,Sri Lanka,80.771797,7.873054,1,0,1,2020-02-08 03:43:03
Sweden,Sweden,18.643501,60.128161,1,0,0,2020-02-01 02:13:26
Switzerland,Switzerland,8.227512,46.818188,1,0,0,2020-02-25 19:13:21
