Country,Province,Longitude,Latitude,ConfirmedCount,DeadCount,CuredCount,LastUpdateTime
China,Hubei,112.2707,30.9756,67794,3085,54288,2020-03-15 18:20:18
Italy,Italy,12.5674,41.8719,24747,1809,2335,2020-03-14 20:13:16
Iran,Iran,53.688,32.4279,13938,724,4590,2020-03-15 18:20:18
"Korea, South","Korea, South",127.7669,35.9078,8162,75,510,2020-03-15 18:20:18
Spain,Spain,-3.7492,40.4637,7798,289,517,2020-03-15 18:20:18
Germany,Germany,10.4515,51.1657,5795,11,46,2020-03-15 18:20:18
France,France,2.2137,46.2276,4499,91,12,2020-03-15 18:20:18
Switzerland,Switzerland,8.2275,46.8182,2200,14,4,2020-03-15 18:20:18
China,Guangdong,113.4244,23.3417,1360,8,1304,2020-03-15 18:20:18
China,Henan,113.61399999999999,33.882,1273,22,1250,2020-03-14 09:53:08
China,Zhejiang,120.0934,29.1832,1231,1,1211,2020-03-15 01:33:02
Norway,Norway,8.4689,60.472,1221,3,1,2020-03-15 18:20:18
United Kingdom,United Kingdom,-3.4360000000000004,55.3781,1140,21,18,2020-03-14 14:53:04
Netherlands,Netherlands,5.2913,52.1326,1135,20,2,2020-03-15 18:20:18
Sweden,Sweden,18.6435,60.1282,1022,3,1,2020-03-15 18:20:18
China,Hunan,111.7088,27.6104,1018,4,1014,2020-03-14 08:33:03
China,Anhui,117.2264,31.8257,990,6,984,2020-03-11 02:18:14
China,Jiangxi,115.7221,27.614,935,1,934,2020-03-12 02:13:04
Belgium,Belgium,4.4699,50.5039,886,4,1,2020-03-15 18:20:18
Denmark,Denmark,9.5018,56.2639,864,2,1,2020-03-15 18:20:19
Austria,Austria,14.5501,47.5162,860,1,6,2020-03-15 18:20:18
Japan,Japan,138.2529,36.2048,839,22,118,2020-03-14 22:33:03
China,Shandong,118.1498,36.3427,760,7,741,2020-03-14 04:33:02
US,New York,-74.9481,42.1657,732,3,0,2020-03-15 18:20:19
Cruise Ship,Diamond Princess,139.6649,35.4498,696,7,325,2020-03-13 14:13:25
US,Washington,-121.4905,47.4009,643,40,1,2020-03-15 02:13:21
China,Jiangsu,119.455,32.9711,631,0,631,2020-03-15 01:53:02
China,Chongqing,107.874,30.0572,576,6,570,2020-03-15 03:53:04
China,Sichuan,102.7103,30.6171,539,3,516,2020-03-15 18:20:18
China,Heilongjiang,127.7615,47.861999999999995,482,13,453,2020-03-15 00:33:02
China,Beijing,116.4142,40.1824,442,8,353,2020-03-15 01:13:10
Malaysia,Malaysia,101.9758,4.2105,428,0,42,2020-03-15 18:20:18
US,California,-119.6816,36.1162,426,6,6,2020-03-15 18:33:03
China,Shanghai,121.4491,31.201999999999998,353,3,324,2020-03-14 23:53:02
Qatar,Qatar,51.1839,25.3548,401,0,4,2020-03-14 22:33:03
China,Hebei,114.5149,38.0428,318,6,310,2020-03-13 11:09:03
China,Fujian,117.9874,26.0789,296,1,295,2020-03-11 02:18:14
China,Guangxi,108.7881,23.8298,252,2,243,2020-03-13 11:09:03
China,Shaanxi,108.8701,35.1917,245,2,232,2020-03-12 01:33:02
Portugal,Portugal,-8.2245,39.3999,245,0,2,2020-03-15 18:20:18
Finland,Finland,25.7482,61.9241,244,0,10,2020-03-15 18:20:18
Czechia,Czechia,15.472999999999999,49.8175,253,0,0,2020-03-15 18:20:18
Greece,Greece,21.8243,39.0742,331,4,8,2020-03-15 18:20:18
Singapore,Singapore,103.8198,1.3521,226,0,105,2020-03-15 18:20:18
Slovenia,Slovenia,14.9955,46.1512,219,1,0,2020-03-15 18:20:18
Bahrain,Bahrain,50.5577,26.0667,214,0,60,2020-03-14 11:53:29
Israel,Israel,34.8516,31.0461,251,0,4,2020-03-15 18:20:18
China,Yunnan,101.48700000000001,24.974,174,2,172,2020-03-14 23:33:02
China,Hainan,109.7453,19.1959,168,6,160,2020-03-12 03:53:02
Brazil,Brazil,-51.9253,-14.235,162,0,0,2020-03-15 18:20:18
Iceland,Iceland,-19.0208,64.9631,171,5,8,2020-03-15 18:20:18
China,Guizhou,106.8748,26.8154,146,2,143,2020-03-14 00:53:03
China,Hong Kong,114.2,22.3,145,4,81,2020-03-15 18:20:18
Philippines,Philippines,121.774,12.8797,140,11,2,2020-03-15 18:20:18
US,Massachusetts,-71.5301,42.2302,164,0,1,2020-03-14 22:13:19
China,Tianjin,117.323,39.3054,136,3,133,2020-03-15 18:20:18
Estonia,Estonia,25.0136,58.5953,171,0,1,2020-03-15 18:20:18
Australia,New South Wales,151.2093,-33.8688,134,2,4,2020-03-15 18:20:19
China,Gansu,103.8343,36.0611,133,2,91,2020-03-15 18:20:18
China,Shanxi,112.2922,37.5777,133,0,133,2020-03-13 11:09:03
Romania,Romania,24.9668,45.9432,131,0,9,2020-03-15 18:20:18
Ireland,Ireland,-7.6921,53.1424,129,2,0,2020-03-14 20:13:16
China,Liaoning,122.6085,41.2956,125,1,114,2020-03-15 04:13:27
Poland,Poland,19.1451,51.9194,119,3,0,2020-03-15 18:20:18
Indonesia,Indonesia,113.9213,-0.7893,117,5,8,2020-03-15 18:20:18
US,Florida,-81.6868,27.7663,115,4,0,2020-03-15 18:20:19
Thailand,Thailand,100.9925,15.87,114,1,35,2020-03-15 18:20:18
India,India,78.9629,20.5937,113,2,13,2020-03-15 18:20:18
Kuwait,Kuwait,47.4818,29.3117,112,0,5,2020-03-15 18:20:18
Egypt,Egypt,30.8025,26.8206,110,2,21,2020-03-15 18:20:18
Iraq,Iraq,43.6793,33.2232,116,10,26,2020-03-14 22:33:03
Lebanon,Lebanon,35.8623,33.8547,110,3,1,2020-03-15 18:20:18
Canada,Ontario,-85.3232,51.2538,104,0,4,2020-03-15 01:53:03
Saudi Arabia,Saudi Arabia,45.0792,23.8859,103,0,1,2020-03-14 20:33:03
US,Colorado,-105.3111,39.0598,131,1,0,2020-03-14 22:13:32
US,Georgia,-83.6431,33.0406,99,1,0,2020-03-15 18:20:19
China,Jilin,126.1923,43.6661,93,1,91,2020-03-13 11:09:03
San Marino,San Marino,12.4578,43.9424,101,5,4,2020-03-15 18:20:18
US,Louisiana,-91.8678,31.1695,91,2,0,2020-03-15 18:20:19
United Arab Emirates,United Arab Emirates,53.8478,23.4241,98,0,23,2020-03-15 18:20:18
China,Xinjiang,85.2401,41.1129,76,3,73,2020-03-11 02:18:14
China,Inner Mongolia,113.9448,44.0935,75,1,71,2020-03-11 03:53:03
China,Ningxia,106.1655,37.2692,75,0,73,2020-03-14 09:53:08
US,New Jersey,-74.521,40.2989,98,2,0,2020-03-15 18:20:19
Canada,British Columbia,-127.6476,53.7267,73,1,4,2020-03-15 01:53:02
US,Illinois,-88.9861,40.3495,93,0,2,2020-03-15 18:20:19
Russia,Russia,105.3188,61.523999999999994,63,0,8,2020-03-15 18:20:18
US,Texas,-97.5635,31.0545,72,0,0,2020-03-15 18:20:19
Australia,Queensland,153.4,-28.0167,61,0,8,2020-03-15 18:20:19
Chile,Chile,-71.543,-35.6751,74,0,0,2020-03-14 20:33:03
