Country,Province,Longitude,Latitude,ConfirmedCount,DeadCount,CuredCount,LastUpdateTime
China,Hubei,112.2707,30.9756,67103,2803,33934,2020-03-02 15:03:23
South Korea,South Korea,128.0,36.0,4335,28,30,2020-03-02 20:23:16
Italy,Italy,12.0,43.0,2036,52,149,2020-03-02 20:23:16
Iran,Iran,53.0,32.0,1501,66,291,2020-03-02 20:23:16
China,Guangdong,113.4244,23.3417,1350,7,1059,2020-03-02 15:03:23
China,Henan,113.614,33.882,1272,22,1205,2020-03-02 11:43:03
China,Zhejiang,120.0934,29.1832,1206,1,1069,2020-03-02 11:43:03
China,Hunan,111.7088,27.6104,1018,4,887,2020-03-02 11:43:03
China,Anhui,117.2264,31.8257,990,6,917,2020-03-02 15:03:23
China,Jiangxi,115.7221,27.614,935,1,850,2020-03-02 01:33:02
China,Shandong,118.1498,36.3427,758,6,460,2020-03-02 08:03:12
Others,Diamond Princess cruise ship,139.638,35.4437,705,6,10,2020-03-02 14:33:03
China,Jiangsu,119.455,32.9711,631,0,543,2020-03-02 12:53:02
China,Chongqing,107.874,30.0572,576,6,469,2020-03-02 23:23:02
China,Sichuan,102.7103,30.6171,538,3,386,2020-03-02 15:03:23
China,Heilongjiang,127.7615,47.862,480,13,356,2020-03-02 12:53:02
China,Beijing,116.4142,40.1824,414,8,282,2020-03-02 02:13:16
China,Shanghai,121.4491,31.202,337,3,292,2020-03-02 04:03:13
China,Hebei,114.5149,38.0428,318,6,296,2020-03-02 09:43:05
China,Fujian,117.9874,26.0789,296,1,255,2020-03-02 12:53:02
Japan,Japan,138.0,36.0,274,6,32,2020-03-02 20:33:02
China,Guangxi,108.7881,23.8298,252,2,192,2020-03-02 12:53:02
China,Shaanxi,108.8701,35.1917,245,1,216,2020-03-02 08:03:12
France,France,2.0,47.0,191,3,12,2020-03-02 20:33:02
China,Yunnan,101.487,24.974,174,2,168,2020-03-02 06:23:04
China,Hainan,109.7453,19.1959,168,5,151,2020-03-02 02:03:18
Germany,Germany,9.0,51.0,159,0,16,2020-03-02 20:33:02
China,Guizhou,106.8748,26.8154,146,2,114,2020-03-02 01:13:06
China,Tianjin,117.323,39.3054,136,3,111,2020-03-01 12:43:02
China,Shanxi,112.2922,37.5777,133,0,119,2020-03-02 23:23:02
China,Liaoning,122.6085,41.2956,122,1,103,2020-03-01 12:23:06
Spain,Spain,-4.0,40.0,120,0,2,2020-03-02 14:43:05
Singapore,Singapore,103.8333,1.2833,108,0,78,2020-03-02 20:33:02
China,Hong Kong,114.2,22.3,100,2,36,2020-03-02 23:53:02
China,Jilin,126.1923,43.6661,93,1,83,2020-03-02 15:03:23
China,Gansu,103.8343,36.0611,91,2,85,2020-03-02 15:03:23
China,Xinjiang,85.2401,41.1129,76,3,66,2020-03-02 15:43:31
China,Inner Mongolia,113.9448,44.0935,75,0,54,2020-03-02 10:23:04
China,Ningxia,106.1655,37.2692,74,0,69,2020-03-02 01:33:02
Kuwait,Kuwait,47.75,29.5,56,0,0,2020-03-02 20:33:02
Bahrain,Bahrain,50.55,26.0275,49,0,0,2020-03-02 20:33:02
US,Unassigned Location (From Diamond Princess),139.638,35.4437,45,0,0,2020-03-02 19:53:03
Thailand,Thailand,101.0,15.0,43,1,31,2020-03-02 06:23:04
Switzerland,Switzerland,8.2275,46.8182,42,0,0,2020-03-02 22:33:09
China,Taiwan,121.0,23.7,41,1,12,2020-03-02 08:03:12
UK,UK,-3.0,55.0,40,0,8,2020-03-02 20:33:02
Malaysia,Malaysia,112.5,2.5,29,0,18,2020-03-01 12:53:02
Iraq,Iraq,44.0,33.0,26,0,0,2020-03-02 20:53:02
Norway,Norway,8.4689,60.472,25,0,0,2020-03-02 20:53:02
United Arab Emirates,United Arab Emirates,54.0,24.0,21,0,5,2020-02-29 12:33:03
Austria,Austria,14.5501,47.5162,18,0,0,2020-03-02 21:23:04
China,Qinghai,95.9956,35.7452,18,0,18,2020-02-21 04:43:02
Netherlands,Netherlands,5.2913,52.1326,18,0,0,2020-03-02 20:53:02
Canada,"Toronto, ON",-79.3832,43.6532,17,0,2,2020-03-02 20:53:02
Vietnam,Vietnam,108.0,16.0,16,0,16,2020-02-25 08:53:02
Sweden,Sweden,16.0,63.0,15,0,0,2020-03-02 20:53:02
US,"King County, WA",-121.9836,47.548,14,5,1,2020-03-02 20:23:16
Lebanon,Lebanon,35.8623,33.8547,13,0,0,2020-03-02 20:53:02
Israel,Israel,35.0,31.0,10,0,1,2020-03-01 23:23:02
China,Macau,113.55,22.1667,10,0,8,2020-02-27 12:43:02
Australia,Queensland,153.4,-28.0167,9,0,1,2020-02-29 02:03:10
Australia,Victoria,144.9631,-37.8136,9,0,4,2020-03-02 00:53:03
US,"Santa Clara, CA",-121.9552,37.3541,9,0,1,2020-03-02 20:33:02
Belgium,Belgium,4.0,50.8333,8,0,1,2020-03-02 20:53:02
Canada,British Columbia,-123.1207,49.2827,8,0,3,2020-02-29 23:23:13
San Marino,San Marino,12.4578,43.9424,8,0,0,2020-03-02 01:03:12
Croatia,Croatia,15.2,45.1,7,0,0,2020-03-01 23:33:03
Greece,Greece,21.8243,39.0742,7,0,0,2020-03-01 23:23:02
