continent,country,locationId,longitude,latitude,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,updateTime
Asia,Kampuchea (Cambodia ),952003,null,null,82,103,0,21,0,2020-03-30 11:15:15
Africa,Mauritius,984014,57.552152,-20.348404,105,107,0,0,2,2020-03-30 11:15:15
Africa,Reunion,0,null,null,143,143,0,0,0,2020-03-30 11:15:15
South America,Paraguay,973009,-58.443832,-23.442503,61,64,0,0,3,2020-03-30 11:15:15
Europe,Iceland,962003,-19.020835,64.963051,894,1020,0,124,2,2020-03-30 11:15:15
South America,Colombia,973005,-74.297333,4.570868,592,608,0,10,6,2020-03-30 11:15:15
Europe,Andorra,965002,1.601554,42.546245,322,334,0,6,6,2020-03-30 11:15:15
North America,Bahamas,974002,-77.39628,25.03428,10,10,0,0,0,2020-03-30 10:48:01
Africa,Angola,984001,17.873887,-11.202692,5,7,0,0,2,2020-03-30 10:48:01
Africa,Democratic Republic of the Congo,0,null,null,70,81,0,3,8,2020-03-30 10:48:01
Asia,Maldives,953004,73.22068,3.202778,6,17,0,11,0,2020-03-30 10:48:01
Europe,Finland,962002,25.748151,61.92411,1197,1218,0,10,11,2020-03-30 10:48:01
Asia,Burma,952001,null,null,10,10,0,0,0,2020-03-30 10:48:01
Asia,Singapore,952009,103.819836,1.352083,658,844,0,183,3,2020-03-30 10:48:01
North America,Nicaragua,972006,-85.207229,12.865416,3,4,0,0,1,2020-03-30 10:48:01
Europe,Monaco,961005,7.412841,43.750298,45,46,0,1,0,2020-03-30 10:48:01
Asia,Saudi Arabia,955016,45.079162,23.885942,1225,1299,0,66,8,2020-03-30 10:48:01
Europe,Liechtenstein,963005,9.555373,47.166,61,61,0,0,0,2020-03-30 10:48:01
Africa,Madagascar,984005,46.869107,-18.766947,43,43,0,0,0,2020-03-30 10:48:01
Europe,,965018,null,null,84,85,0,0,1,2020-03-30 10:48:01
Europe,Switzerland,963008,8.227512,46.818188,12549,14336,0,1530,257,2020-03-30 10:48:01
Africa,Gambia,982005,-15.310139,13.443182,3,4,0,0,1,2020-03-30 10:48:01
North America,,0,null,null,17,17,0,0,0,2020-03-30 10:48:01
Africa,The Republic of Equatorial Guinea,0,null,null,14,14,0,0,0,2020-03-30 10:48:01
Africa,Guinea,0,-9.696645,9.945587,15,16,0,1,0,2020-03-30 10:48:01
Africa,,0,null,null,29,29,0,0,0,2020-03-30 10:48:01
North America,El Salvador,972003,-88.89653,13.794185,19,19,0,0,0,2020-03-30 10:48:01
Europe,Germany,963003,10.451526,51.165691,49146,58101,0,8481,474,2020-03-30 10:48:01
Oceania,Guam,0,144.793731,13.444304,55,56,0,0,1,2020-03-30 10:48:01
Africa,Kenya,985005,37.906193,-0.023559,40,42,0,1,1,2020-03-30 10:48:01
North America,United States of America,971002,null,null,135754,140886,0,2665,2467,2020-03-30 10:48:01
North America,,0,null,null,10,10,0,0,0,2020-03-30 10:48:01
Europe,Moldova,964005,28.369885,47.411631,219,231,0,10,2,2020-03-30 10:48:01
Asia,,954002,null,null,84,84,0,0,0,2020-03-30 10:48:01
Africa,Nigeria,982013,8.675277,9.081999,107,111,0,3,1,2020-03-30 10:48:01
North America,Cuba,974004,-77.781167,21.521757,116,119,0,0,3,2020-03-30 10:48:01
Africa,Djibouti,985002,42.590275,11.825138,18,18,0,0,0,2020-03-30 10:48:01
North America,Sint Maarten,0,null,null,12,12,0,0,0,2020-03-30 10:48:01
Africa,Uganda,985010,32.290275,1.373333,33,33,0,0,0,2020-03-30 10:48:01
Asia,Syria,955017,38.996815,34.802075,5,6,0,0,1,2020-03-30 10:48:01
Africa,Cameroon,983001,12.354722,7.369722,134,139,0,3,2,2020-03-30 10:48:01
Asia,Jordan,955010,36.238414,30.585164,239,259,0,18,2,2020-03-30 10:48:01
Africa,,985003,null,null,12,12,0,0,0,2020-03-30 10:48:01
South America,Venezuela,0,-66.58973,6.42375,111,113,0,0,2,2020-03-30 10:48:01
Oceania,French Polynesia,0,-149.406843,-17.679742,34,34,0,0,0,2020-03-30 10:48:01
Europe,Guernsey,0,-2.585278,49.465691,39,39,0,0,0,2020-03-30 10:48:01
Asia,SriLanka,953007,null,null,110,117,0,6,1,2020-03-30 10:48:01
North America,,0,null,null,46,46,0,0,0,2020-03-30 10:48:01
Europe,Gibraltar,0,-5.345374,36.137741,56,56,0,0,0,2020-03-30 10:48:01
Asia,Lebanon,955012,35.862285,33.854721,398,438,0,30,10,2020-03-30 10:48:01
Europe,Croatia,965005,15.2,45.1,615,657,0,37,5,2020-03-30 10:48:01
North America,Jamaica,974009,-77.297508,18.109581,29,30,0,0,1,2020-03-30 10:48:01
Asia,Armenia,955002,45.038189,40.069099,391,424,0,30,3,2020-03-30 10:48:01
Asia,Georgia,955006,43.356892,42.315407,72,90,0,18,0,2020-03-30 10:48:01
Oceania,,0,null,null,2,2,0,0,0,2020-03-30 10:48:01
Asia,Pakistan,953006,69.345116,30.375321,1526,1566,0,25,15,2020-03-30 10:48:01
Europe,Estonia,964002,25.013607,58.595272,656,679,0,20,3,2020-03-30 10:48:01
North America,Trinidad and Tobago,974013,-61.222503,10.691803,72,74,0,0,2,2020-03-30 10:48:01
Europe,,0,null,null,32,32,0,0,0,2020-03-30 10:48:01
Africa,Ivory Coast,982004,null,null,160,165,0,4,1,2020-03-30 10:48:01
Europe,Ukraine,964007,31.16558,48.379433,459,475,0,6,10,2020-03-30 10:48:01
Asia,Thailand,952010,100.992541,15.870032,1284,1388,0,97,7,2020-03-30 10:48:01
Europe,Status Civitatis Vaticanae,965017,null,null,6,6,0,0,0,2020-03-30 10:48:01
North America,Guatemala,972004,-90.230759,15.783471,31,32,0,0,1,2020-03-30 10:48:01
Africa,Togo,982016,0.824782,8.619543,22,30,0,7,1,2020-03-30 10:48:01
Europe,Italy,965008,12.56738,41.87194,73880,97689,0,13030,10779,2020-03-30 10:48:01
Africa,Mali,982010,-3.996166,17.570692,19,20,0,0,1,2020-03-30 10:48:01
Africa,Libya,981003,17.228331,26.3351,3,3,0,0,0,2020-03-30 10:48:01
Asia,Palestine,955014,null,null,87,106,0,18,1,2020-03-30 10:48:01
Africa,The Islamic Republic of Mauritania,982012,null,null,3,5,0,2,0,2020-03-30 10:48:01
Africa,Ethiopia,985004,40.489673,9.145,18,21,0,3,0,2020-03-30 10:48:01
Europe,Bulgaria,965004,25.48583,42.733883,328,338,0,3,7,2020-03-30 10:48:01
Europe,Bailiwick of Jersey,0,null,null,60,61,0,0,1,2020-03-30 10:48:01
Asia,Turkey,955018,35.243322,38.963745,8981,9217,0,105,131,2020-03-30 10:48:01
Europe,Slovenia,965014,14.995463,46.151241,682,691,0,0,9,2020-03-30 10:48:01
Asia,Uzbekistan,954005,64.585262,41.377491,131,133,0,0,2,2020-03-30 10:48:01
Europe,Russia,964006,105.318756,61.52401,1462,1534,0,64,8,2020-03-30 10:48:01
South America,Bolivia,973002,-63.588653,-16.290154,74,74,0,0,0,2020-03-30 10:48:01
Asia,Bahrain,955004,50.637772,25.930414,223,499,0,272,4,2020-03-30 10:48:01
Asia,Brunei,952002,114.727669,4.535277,91,126,0,34,1,2020-03-30 10:48:01
Others,Diamond Princess Cruise Ship,0,null,null,128,712,0,574,10,2020-03-30 08:06:32
North America,,0,null,null,2,2,0,0,0,2020-03-30 07:44:19
North America,Haiti,974008,-72.285215,18.971187,8,8,0,0,0,2020-03-30 07:44:19
Africa,Zimbabwe,984013,29.154857,-19.015438,6,7,0,0,1,2020-03-30 07:44:19
Africa,Mozambique,984008,35.529562,-18.665695,8,8,0,0,0,2020-03-30 07:44:19
North America,Belize,972001,-88.49765,17.189877,2,2,0,0,0,2020-03-30 07:44:19
Africa,,0,null,null,50,50,0,0,0,2020-03-30 07:44:19
North America,Puerto Rico,0,-66.590149,18.220833,62,64,0,0,2,2020-03-30 07:44:19
Oceania,,0,null,null,15,15,0,0,0,2020-03-30 07:44:19
Asia,Mongolia,0,103.846656,46.862496,12,12,0,0,0,2020-03-30 07:44:19
Africa,Somali,985008,null,null,3,3,0,0,0,2020-03-30 07:44:19
Africa,Niger,982011,8.081666,17.607789,9,10,0,0,1,2020-03-30 07:44:19
North America,Honduras,972005,-86.241905,15.199999,67,68,0,0,1,2020-03-30 07:44:19
Africa,Sudan,981005,30.217636,12.862807,4,5,0,0,1,2020-03-30 07:44:19
Africa,Chad,982003,18.732207,15.454166,5,5,0,0,0,2020-03-30 07:44:19
Africa,Benin,982001,2.315834,9.30769,6,6,0,0,0,2020-03-30 07:44:19
Africa,Central African Republic,983002,20.939444,6.611111,6,6,0,0,0,2020-03-30 07:44:19
North America,Antigua and Barbuda,974001,-61.796428,17.060816,7,7,0,0,0,2020-03-30 07:44:19
North America,,0,null,null,2,2,0,0,0,2020-03-30 07:44:19
Africa,Namibia,984009,18.49041,-22.95764,11,11,0,0,0,2020-03-30 07:44:19
North America,Cayman Is,0,null,null,7,8,0,0,1,2020-03-30 07:44:19
North America,,0,null,null,94,96,0,0,2,2020-03-30 07:44:19
South America,French Guiana,0,-53.125782,3.933889,31,31,0,0,0,2020-03-30 07:44:19
North America,,0,null,null,7,7,0,0,0,2020-03-30 07:44:19
North America,,0,null,null,5,5,0,0,0,2020-03-30 07:44:19
Africa,Tanzania,985009,34.888822,-6.369028,13,14,0,1,0,2020-03-30 07:44:19
North America,,0,null,null,2,2,0,0,0,2020-03-30 07:44:19
