continent,country,locationId,longitude,latitude,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,updateTime
Europe,Slovenia,965014,14.995463,46.151241,787,802,0,0,15,2020-04-01 12:36:17
Europe,Bulgaria,965004,25.48583,42.733883,388,399,0,3,8,2020-04-01 12:36:17
North America,,0,null,null,5,5,0,0,0,2020-04-01 12:36:17
Europe,Bailiwick of Jersey,0,null,null,61,63,0,0,2,2020-04-01 12:36:17
South America,Colombia,973005,-74.297333,4.570868,859,906,0,31,16,2020-04-01 12:36:17
Europe,Iceland,962003,-19.020835,64.963051,935,1135,0,198,2,2020-04-01 12:36:17
Africa,Gabon,983004,11.609444,-0.803689,17,18,0,0,1,2020-04-01 12:36:17
Africa,The Islamic Republic of Mauritania,982012,null,null,3,6,0,2,1,2020-04-01 12:36:17
South America,Paraguay,973009,-58.443832,-23.442503,61,65,0,1,3,2020-04-01 12:36:17
Africa,Libya,981003,17.228331,26.3351,8,8,0,0,0,2020-04-01 12:36:17
Africa,Mali,982010,-3.996166,17.570692,26,28,0,0,2,2020-04-01 12:36:17
Africa,Mauritius,984014,57.552152,-20.348404,138,143,0,0,5,2020-04-01 12:36:17
Africa,,0,null,null,17,22,0,2,3,2020-04-01 12:36:17
Europe,Italy,965008,12.56738,41.87194,77635,105792,0,15729,12428,2020-04-01 12:36:17
North America,,0,null,null,10,11,0,0,1,2020-04-01 12:36:17
Africa,Togo,982016,0.824782,8.619543,23,34,0,10,1,2020-04-01 12:36:17
Europe,United Kingdom,961007,-3.435973,55.378051,23226,25150,0,135,1789,2020-04-01 12:36:17
North America,Guatemala,972004,-90.230759,15.783471,35,36,0,0,1,2020-04-01 12:36:17
Europe,Status Civitatis Vaticanae,965017,null,null,6,6,0,0,0,2020-04-01 12:36:17
Africa,Republic of Rwanda,985006,null,null,75,75,0,0,0,2020-04-01 12:36:17
Asia,Korea,951004,null,null,4314,9887,0,5408,165,2020-04-01 12:36:17
Africa,,0,null,null,2,2,0,0,0,2020-04-01 12:36:17
Europe,,0,null,null,42,42,0,0,0,2020-04-01 12:36:17
North America,Costa Rica,972002,-83.753428,9.748917,345,347,0,0,2,2020-04-01 12:36:17
North America,Trinidad and Tobago,974013,-61.222503,10.691803,79,82,0,0,3,2020-04-01 12:36:17
Asia,Laos,952006,102.495496,19.85627,8,8,0,0,0,2020-04-01 12:36:17
Europe,Hungary,963004,19.503304,47.162494,439,492,0,37,16,2020-04-01 12:36:17
South America,Suriname,973010,-56.027783,3.919305,9,9,0,0,0,2020-04-01 12:36:17
North America,,0,null,null,30,30,0,0,0,2020-04-01 12:36:17
Europe,France,961002,2.213749,46.227638,39161,52128,0,9444,3523,2020-04-01 12:36:17
Asia,Pakistan,953006,69.345116,30.375321,1856,1940,0,58,26,2020-04-01 12:36:17
Asia,Kingdom of Bhutan,953002,null,null,4,4,0,0,0,2020-04-01 12:36:17
Asia,Iraq,955008,43.679291,33.223191,474,694,0,170,50,2020-04-01 12:36:17
Africa,Tanzania,985009,34.888822,-6.369028,17,19,0,1,1,2020-04-01 12:36:17
North America,,0,null,null,6,6,0,0,0,2020-04-01 12:36:17
North America,Jamaica,974009,-77.297508,18.109581,35,36,0,0,1,2020-04-01 12:36:17
Europe,Ireland,961003,-8.24389,53.41291,3164,3235,0,0,71,2020-04-01 12:36:17
Asia,Kuwait,955011,47.481766,29.31166,216,289,0,73,0,2020-04-01 12:36:17
Africa,South Africa,984011,22.937506,-30.559482,1347,1353,0,1,5,2020-04-01 12:36:17
Europe,Croatia,965005,15.2,45.1,794,867,0,67,6,2020-04-01 12:36:17
North America,,0,null,null,9,9,0,0,0,2020-04-01 12:36:17
North America,,0,null,null,6,6,0,0,0,2020-04-01 12:36:17
Europe,Guernsey,0,-2.585278,49.465691,45,45,0,0,0,2020-04-01 12:36:17
Oceania,French Polynesia,0,-149.406843,-17.679742,36,36,0,0,0,2020-04-01 12:36:17
Europe,Austria,963001,14.550072,47.516231,8748,9971,0,1095,128,2020-04-01 12:36:17
Europe,Gibraltar,0,-5.345374,36.137741,69,69,0,0,0,2020-04-01 12:36:17
North America,,0,null,null,50,50,0,0,0,2020-04-01 12:36:17
Europe,San Marino,965012,12.457777,43.94236,215,242,0,2,25,2020-04-01 12:36:17
South America,Venezuela,0,-66.58973,6.42375,132,135,0,0,3,2020-04-01 12:36:17
Asia,Iran,955007,53.688046,32.427908,27052,44606,0,14656,2898,2020-04-01 12:36:17
South America,French Guiana,0,-53.125782,3.933889,43,43,0,0,0,2020-04-01 12:36:17
Asia,SriLanka,953007,null,null,124,142,0,16,2,2020-04-01 12:36:17
South America,Guyana,973007,-58.93018,4.860416,7,8,0,0,1,2020-04-01 12:36:17
North America,,0,null,null,102,106,0,0,4,2020-04-01 12:36:17
Africa,,985003,null,null,15,15,0,0,0,2020-04-01 12:36:17
Asia,Jordan,955010,36.238414,30.585164,239,274,0,30,5,2020-04-01 12:36:17
North America,Cayman Is,0,null,null,11,12,0,0,1,2020-04-01 12:36:17
Africa,Seychelles,985007,55.491977,-4.679574,10,10,0,0,0,2020-04-01 12:36:17
Asia,Syria,955017,38.996815,34.802075,8,10,0,0,2,2020-04-01 12:36:17
Africa,Uganda,985010,32.290275,1.373333,44,44,0,0,0,2020-04-01 12:36:17
Europe,Netherlands,961006,5.291266,52.132633,8602,12595,0,2954,1039,2020-04-01 12:36:17
North America,Sint Maarten,0,null,null,17,18,0,0,1,2020-04-01 12:36:17
Africa,Djibouti,985002,42.590275,11.825138,30,30,0,0,0,2020-04-01 12:36:17
North America,St.Lucia,974011,null,null,9,9,0,0,0,2020-04-01 12:36:17
