continent,country,locationId,longitude,latitude,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,updateTime
Asia,Iraq,955008,43.679291,33.223191,418,1708,0,1204,86,2020-04-25 07:36:16
Asia,Armenia,955002,45.038189,40.069099,841,1596,0,728,27,2020-04-25 07:36:16
Asia,Georgia,955006,43.356892,42.315407,312,431,0,114,5,2020-04-25 07:36:16
Europe,Ireland,961003,-8.24389,53.41291,7937,18184,0,9233,1014,2020-04-25 07:36:16
Europe,Croatia,965005,15.2,45.1,976,2009,0,982,51,2020-04-25 07:36:16
Europe,Gibraltar,0,-5.345374,36.137741,132,133,0,0,1,2020-04-25 07:36:16
South America,French Guiana,0,-53.125782,3.933889,106,107,0,0,1,2020-04-25 07:36:16
Asia,Jordan,955010,36.238414,30.585164,108,441,0,326,7,2020-04-25 07:36:16
Africa,Djibouti,985002,42.590275,11.825138,667,999,0,330,2,2020-04-25 07:36:16
Africa,Nigeria,982013,8.675277,9.081999,855,1095,0,208,32,2020-04-25 07:36:16
Europe,Moldova,964005,28.369885,47.411631,2341,2926,0,505,80,2020-04-25 07:36:16
South America,Peru,973008,-75.015152,-9.189967,13518,21648,0,7496,634,2020-04-25 07:36:16
Oceania,Guam,0,144.793731,13.444304,131,136,0,0,5,2020-04-25 07:36:16
Africa,Sierra Leone,982015,-11.779889,8.460555,69,82,0,10,3,2020-04-25 07:36:16
North America,Dominican Republic,974006,-70.162651,18.735693,5278,5543,0,0,265,2020-04-25 07:36:16
Asia,Azerbaijan,955003,47.576927,40.143105,558,1592,0,1013,21,2020-04-25 07:36:16
Asia,Qatar,955015,51.183884,25.354826,7706,8525,0,809,10,2020-04-25 07:36:16
Europe,Luxembourg,961004,6.129583,49.815273,3369,3695,0,241,85,2020-04-25 07:36:16
South America,Argentina,973001,-63.616672,-38.416097,2533,3435,0,737,165,2020-04-25 07:36:16
Europe,Lithuania,964004,23.881275,55.169438,938,1410,0,430,42,2020-04-25 07:36:16
South America,Brazil,973003,-51.92528,-14.235004,21670,52995,0,27655,3670,2020-04-25 07:36:16
Europe,Switzerland,963008,8.227512,46.818188,5908,28494,0,21000,1586,2020-04-25 07:36:16
Africa,Madagascar,984005,46.869107,-18.766947,86,121,0,35,0,2020-04-25 07:36:16
Asia,Vietnam,952011,108.277199,14.058324,101,270,0,169,0,2020-04-25 07:36:16
Asia,Maldives,953004,73.22068,3.202778,112,128,0,16,0,2020-04-25 07:36:16
Asia,Israel,955009,34.851612,31.046051,8861,15058,0,6003,194,2020-04-25 07:36:16
Asia,Afghanistan,955001,67.709953,33.93911,1099,1330,0,188,43,2020-04-25 07:24:59
Africa,Algeria,981001,1.659626,28.033886,1304,3127,0,1408,415,2020-04-25 07:24:59
Europe,Italy,965008,12.56738,41.87194,106527,192994,0,60498,25969,2020-04-25 07:24:59
Europe,Norway,962004,8.468946,60.472024,7245,7444,0,0,199,2020-04-25 07:24:59
Europe,France,961002,2.213749,46.227638,56839,122577,0,43493,22245,2020-04-25 07:24:59
Europe,San Marino,965012,12.457777,43.94236,459,501,0,2,40,2020-04-25 07:24:59
Africa,Ghana,982006,-1.023194,7.946527,1135,1279,0,134,10,2020-04-25 07:24:59
Africa,Botswana,984002,24.684866,-22.328474,21,22,0,0,1,2020-04-25 07:19:54
Africa,Angola,984001,17.873887,-11.202692,17,25,0,6,2,2020-04-25 07:19:54
North America,Bahamas,974002,-77.39628,25.03428,61,70,0,0,9,2020-04-25 07:19:54
Asia,Nepal,953005,84.124008,28.394857,46,48,0,2,0,2020-04-25 07:19:54
Asia,Turkey,955018,35.243322,38.963745,80575,104912,0,21737,2600,2020-04-25 07:19:54
North America,Barbados,974003,-59.543198,13.193887,70,76,0,0,6,2020-04-25 07:19:54
Europe,Iceland,962003,-19.020835,64.963051,237,1789,0,1542,10,2020-04-25 07:19:54
Asia,Indonesia,952005,113.921327,-0.789275,6523,8211,0,1002,686,2020-04-25 07:19:54
Europe,Belarus,964001,27.953389,53.709807,7590,8773,0,1120,63,2020-04-25 07:19:54
Oceania,Papua New Guinea,990009,143.95555,-6.314993,8,8,0,0,0,2020-04-25 07:19:54
Africa,Libya,981003,17.228331,26.3351,43,60,0,15,2,2020-04-25 07:19:54
Europe,United Kingdom,961007,-3.435973,55.378051,123614,143464,0,344,19506,2020-04-25 07:19:54
North America,Costa Rica,972002,-83.753428,9.748917,675,681,0,0,6,2020-04-25 07:19:54
Europe,Hungary,963004,19.503304,47.162494,1732,2383,0,401,250,2020-04-25 07:19:54
South America,Suriname,973010,-56.027783,3.919305,3,10,0,6,1,2020-04-25 07:19:54
Asia,Pakistan,953006,69.345116,30.375321,8581,11155,0,2337,237,2020-04-25 07:19:54
Africa,Malawi,984006,34.301525,-13.254308,27,33,0,3,3,2020-04-25 07:19:54
Africa,Tanzania,985009,34.888822,-6.369028,252,299,0,37,10,2020-04-25 07:19:54
North America,Jamaica,974009,-77.297508,18.109581,237,243,0,0,6,2020-04-25 07:19:54
Asia,Kuwait,955011,47.481766,29.31166,1986,2614,0,613,15,2020-04-25 07:19:54
Oceania,French Polynesia,0,-149.406843,-17.679742,57,57,0,0,0,2020-04-25 07:19:54
Europe,Guernsey,0,-2.585278,49.465691,233,243,0,0,10,2020-04-25 07:19:54
South America,Venezuela,0,-66.58973,6.42375,288,298,0,0,10,2020-04-25 07:19:54
Asia,Iran,955007,53.688046,32.427908,16021,88194,0,66599,5574,2020-04-25 07:19:54
North America,Antigua and Barbuda,974001,-61.796428,17.060816,21,24,0,0,3,2020-04-25 07:19:54
Europe,Netherlands,961006,5.291266,52.132633,31955,36535,0,291,4289,2020-04-25 07:19:54
Africa,Benin,982001,2.315834,9.30769,30,58,0,27,1,2020-04-25 07:19:54
Africa,Central African Republic,983002,20.939444,6.611111,9,19,0,10,0,2020-04-25 07:19:54
