continent,country,locationId,longitude,latitude,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,updateTime
Asia,China,951001,104.195397,35.86166,2122,83305,0,77838,3345,1586478657.114
South America,Brazil,973003,-51.92528,-14.235004,16789,17857,0,127,941,1586477564.089
Asia,Turkey,955018,35.243322,38.963745,39232,42282,0,2142,908,1586477564.089
North America,Haiti,974008,-72.285215,18.971187,26,27,0,0,1,1586477503.356
Asia,Israel,955009,34.851612,31.046051,9112,9968,0,770,86,1586477503.356
Asia,Cyprus,955005,33.429859,35.126413,548,562,0,0,14,1586477503.356
Africa,Burkina Faso,982002,-1.561593,12.238333,273,443,0,146,24,1586477503.356
Asia,Singapore,952009,103.819836,1.352083,1497,1910,0,406,7,1586477503.356
Asia,Japan,951002,138.252924,36.204824,5036,5548,0,404,108,1586477503.356
Asia,Vietnam,952011,108.277199,14.058324,129,255,0,126,0,1586477503.356
North America,Belize,972001,-88.49765,17.189877,7,8,0,0,1,1586477503.356
Africa,Egypt,981002,30.802498,26.820553,1233,1699,0,348,118,1586477503.356
North America,Puerto Rico,0,-66.590149,18.220833,596,620,0,0,24,1586477503.356
Europe,Belgium,961001,4.469936,50.503887,19588,24983,0,2872,2523,1586477503.356
Africa,Ghana,982006,-1.023194,7.946527,258,313,0,49,6,1586477503.356
Oceania,New Zealand,990007,174.885971,-40.900557,674,992,4,317,1,1586477503.356
Europe,Liechtenstein,963005,9.555373,47.166,78,79,0,0,1,1586477503.356
Europe,Malta,965019,14.375416,35.937496,298,299,0,0,1,1586477503.356
Europe,Switzerland,963008,8.227512,46.818188,12502,24051,0,10600,949,1586477503.356
Europe,Lithuania,964004,23.881275,55.169438,938,955,0,1,16,1586477503.356
South America,Argentina,973001,-63.616672,-38.416097,1372,1795,0,358,65,1586477503.356
Europe,Slovakia,963007,19.699024,48.669026,683,701,0,16,2,1586477503.356
North America,Saint Vincent and the Grenadines,974012,-61.287228,12.984305,8,8,0,0,0,1586477503.356
Africa,Tunisia,981006,9.537499,33.886917,618,643,0,0,25,1586477503.356
Africa,Guinea,0,-9.696645,9.945587,183,194,0,11,0,1586477503.356
Asia,Qatar,955015,51.183884,25.354826,2164,2376,0,206,6,1586477503.356
South America,Uruguay,973011,-55.765835,-32.522779,257,456,0,192,7,1586477503.356
Asia,Azerbaijan,955003,47.576927,40.143105,816,926,0,101,9,1586477503.356
Europe,Albania,965001,20.168331,41.153332,255,409,0,131,23,1586477503.356
Africa,Niger,982011,8.081666,17.607789,359,410,0,40,11,1586477503.356
North America,Honduras,972005,-86.241905,15.199999,320,343,0,0,23,1586477503.356
Africa,Sierra Leone,982015,-11.779889,8.460555,7,7,0,0,0,1586477503.356
Europe,Latvia,964003,24.603189,56.879635,587,589,0,0,2,1586477503.356
Europe,Spain,965015,-3.74922,40.463667,85043,152446,0,52165,15238,1586477503.356
North America,El Salvador,972003,-88.89653,13.794185,88,93,0,0,5,1586477503.356
Europe,Germany,963003,10.451526,51.165691,56169,108202,0,49926,2107,1586477503.356
Africa,Kenya,985005,37.906193,-0.023559,165,184,0,12,7,1586477503.356
Oceania,Guam,0,144.793731,13.444304,121,125,0,0,4,1586477503.356
Europe,Moldova,964005,28.369885,47.411631,1116,1174,0,30,28,1586477503.356
Africa,Nigeria,982013,8.675277,9.081999,230,288,0,51,7,1586477503.356
North America,Cuba,974004,-77.781167,21.521757,445,457,0,0,12,1586477503.356
North America,Antigua and Barbuda,974001,-61.796428,17.060816,17,19,0,0,2,1586477503.356
Asia,Jordan,955010,36.238414,30.585164,204,372,0,161,7,1586477503.356
Europe,San Marino,965012,12.457777,43.94236,272,308,0,2,34,1586477503.356
South America,Venezuela,0,-66.58973,6.42375,159,166,0,0,7,1586477503.356
South America,French Guiana,0,-53.125782,3.933889,77,77,0,0,0,1586477503.356
Europe,Guernsey,0,-2.585278,49.465691,162,166,0,0,4,1586477503.356
Oceania,French Polynesia,0,-149.406843,-17.679742,51,51,0,0,0,1586477503.356
Europe,Austria,963001,14.550072,47.516231,10189,12969,0,2507,273,1586477503.356
Asia,Lebanon,955012,35.862285,33.854721,501,582,0,62,19,1586477503.356
Europe,Gibraltar,0,-5.345374,36.137741,112,113,0,0,1,1586477503.356
Europe,Ireland,961003,-8.24389,53.41291,5989,6224,0,0,235,1586477503.356
Asia,Kuwait,955011,47.481766,29.31166,797,910,0,112,1,1586477503.356
Africa,South Africa,984011,22.937506,-30.559482,1871,1934,0,45,18,1586477503.356
Europe,Croatia,965005,15.2,45.1,1168,1407,0,219,20,1586477503.356
North America,Jamaica,974009,-77.297508,18.109581,60,63,0,0,3,1586477503.356
Asia,Armenia,955002,45.038189,40.069099,773,921,0,138,10,1586477503.356
Asia,Georgia,955006,43.356892,42.315407,165,214,0,46,3,1586477503.356
North America,Panama,972007,-80.782127,8.537981,2186,2249,0,4,59,1586477503.356
Asia,Iraq,955008,43.679291,33.223191,667,1232,0,496,69,1586477503.356
Asia,Pakistan,953006,69.345116,30.375321,3854,4489,0,572,63,1586477503.356
