continent,country,locationId,longitude,latitude,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,updateTime
Asia,China,951001,104.195397,35.86166,2174,83264,0,77746,3344,2020-04-09 20:08:14
Europe,Croatia,965005,15.2,45.1,1194,1343,0,130,19,2020-04-09 19:55:58
Africa,Ethiopia,985004,40.489673,9.145,50,56,0,4,2,2020-04-09 19:55:58
South America,Bolivia,973002,-63.588653,-16.290154,180,194,0,0,14,2020-04-09 19:55:58
Africa,Morocco,981004,-7.09262,31.791702,1147,1346,0,103,96,2020-04-09 19:55:58
Asia,Israel,955009,34.851612,31.046051,8906,9755,0,770,79,2020-04-09 19:55:58
Africa,Senegal,982014,-14.452362,14.497401,125,250,0,123,2,2020-04-09 19:55:58
Europe,Belgium,961001,4.469936,50.503887,19588,24983,0,2872,2523,2020-04-09 19:55:58
Asia,Qatar,955015,51.183884,25.354826,2164,2376,0,206,6,2020-04-09 19:55:58
Europe,Spain,965015,-3.74922,40.463667,89187,152446,0,48021,15238,2020-04-09 19:55:58
Europe,Netherlands,961006,5.291266,52.132633,15347,20549,0,2954,2248,2020-04-09 19:55:58
Asia,Lebanon,955012,35.862285,33.854721,501,582,0,62,19,2020-04-09 19:46:51
Europe,Latvia,964003,24.603189,56.879635,575,577,0,0,2,2020-04-09 19:46:51
Asia,Jordan,955010,36.238414,30.585164,202,358,0,150,6,2020-04-09 19:14:27
Europe,San Marino,965012,12.457777,43.94236,243,279,0,2,34,2020-04-09 19:14:27
South America,Venezuela,0,-66.58973,6.42375,158,165,0,0,7,2020-04-09 19:14:27
Asia,Iran,955007,53.688046,32.427908,30867,67286,0,32309,4110,2020-04-09 19:14:27
South America,French Guiana,0,-53.125782,3.933889,72,72,0,0,0,2020-04-09 19:14:27
Asia,India,953003,78.96288,20.593684,5095,5734,0,473,166,2020-04-09 19:14:27
Oceania,French Polynesia,0,-149.406843,-17.679742,47,47,0,0,0,2020-04-09 19:14:27
Europe,Guernsey,0,-2.585278,49.465691,162,166,0,0,4,2020-04-09 19:14:27
Europe,Austria,963001,14.550072,47.516231,10102,12852,0,2507,243,2020-04-09 19:14:27
Europe,Gibraltar,0,-5.345374,36.137741,112,113,0,0,1,2020-04-09 19:14:27
Europe,Ireland,961003,-8.24389,53.41291,5839,6074,0,0,235,2020-04-09 19:14:27
Africa,South Africa,984011,22.937506,-30.559482,1782,1845,0,45,18,2020-04-09 19:14:27
Asia,Kuwait,955011,47.481766,29.31166,797,910,0,112,1,2020-04-09 19:14:27
North America,Jamaica,974009,-77.297508,18.109581,56,59,0,0,3,2020-04-09 19:14:27
Asia,Armenia,955002,45.038189,40.069099,773,921,0,138,10,2020-04-09 19:14:27
Asia,Georgia,955006,43.356892,42.315407,159,208,0,46,3,2020-04-09 19:14:27
Africa,Tanzania,985009,34.888822,-6.369028,19,25,0,5,1,2020-04-09 19:14:27
