continent,country,locationId,longitude,latitude,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,updateTime
Asia,India,953003,78.96288,20.593684,6039,6761,0,516,206,1586566828.508
North America,Mexico,971003,-102.552784,23.634501,3610,3844,0,1,233,1586566828.508
Asia,Indonesia,952005,113.921327,-0.789275,3142,3512,0,64,306,1586566828.508
Asia,Philippines,952008,121.774017,12.879721,3834,4195,0,140,221,1586566828.508
Asia,Saudi Arabia,955016,45.079162,23.885942,2919,3651,0,685,47,1586566828.508
Asia,China,951001,104.195397,35.86166,2112,83355,0,77897,3346,1586566524.71
South America,Suriname,973010,-56.027783,3.919305,5,10,0,4,1,1586565432.124
South America,Guyana,973007,-58.93018,4.860416,34,40,0,0,6,1586565432.124
Europe,Ukraine,964007,31.16558,48.379433,2099,2203,0,35,69,1586563544.489
Europe,Estonia,964002,25.013607,58.595272,1141,1258,0,93,24,1586563544.489
Europe,Isle of Man,0,-4.548056,54.236107,164,165,0,0,1,1586563544.489
North America,Trinidad and Tobago,974013,-61.222503,10.691803,101,109,0,0,8,1586563544.489
Europe,France,961002,2.213749,46.227638,52547,90676,0,24932,13197,1586563544.489
Asia,Iraq,955008,43.679291,33.223191,659,1279,0,550,70,1586563544.489
Asia,Pakistan,953006,69.345116,30.375321,3902,4695,0,727,66,1586563544.489
Asia,Armenia,955002,45.038189,40.069099,777,937,0,149,11,1586563544.489
Europe,Ireland,961003,-8.24389,53.41291,7043,7393,0,62,288,1586563544.489
Europe,Croatia,965005,15.2,45.1,1243,1495,0,231,21,1586563544.489
Asia,Kuwait,955011,47.481766,29.31166,880,993,0,112,1,1586563544.489
Africa,Morocco,981004,-7.09262,31.791702,1219,1448,0,122,107,1586563544.489
Asia,Bahrain,955004,50.637772,25.930414,441,998,0,551,6,1586563544.489
Europe,Slovenia,965014,14.995463,46.151241,978,1160,0,137,45,1586563544.489
Asia,Afghanistan,955001,67.709953,33.93911,474,521,0,32,15,1586563544.489
Africa,Ethiopia,985004,40.489673,9.145,58,65,0,4,3,1586563544.489
Africa,Algeria,981001,1.659626,28.033886,1268,1761,0,237,256,1586563544.489
South America,Argentina,973001,-63.616672,-38.416097,1370,1795,0,358,67,1586563544.489
Africa,Tunisia,981006,9.537499,33.886917,646,671,0,0,25,1586563544.489
