continent,country,locationId,longitude,latitude,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,updateTime
South America,Venezuela,0,-66.58973,6.42375,278,288,0,0,10,1587689007.032
Europe,Austria,963001,14.550072,47.516231,2747,14963,0,11694,522,1587689007.032
Europe,Croatia,965005,15.2,45.1,1048,1981,0,883,50,1587689007.032
Europe,Portugal,965010,-8.224454,39.399872,20332,22353,0,1201,820,1587689007.032
Europe,Isle of Man,0,-4.548056,54.236107,297,307,0,0,10,1587689007.032
South America,Chile,973004,-71.542969,-35.675147,6258,11812,0,5386,168,1587689007.032
Asia,Afghanistan,955001,67.709953,33.93911,1051,1226,0,135,40,1587689007.032
Asia,China,951001,104.195397,35.86166,1469,84307,0,78196,4642,1587689007.032
North America,Puerto Rico,0,-66.590149,18.220833,1234,1298,0,0,64,1587689007.032
Europe,Bosnia and Herzegovina,965003,17.679076,43.915886,857,1387,0,476,54,1587689007.032
Europe,Slovakia,963007,19.699024,48.669026,1022,1325,0,288,15,1587689007.032
Africa,Niger,982011,8.081666,17.607789,391,671,0,256,24,1587689007.032
Europe,Latvia,964003,24.603189,56.879635,634,778,0,133,11,1587689007.032
North America,Cuba,974004,-77.781167,21.521757,1149,1189,0,0,40,1587689007.032
Africa,Cameroon,983001,12.354722,7.369722,623,1334,0,668,43,1587689007.032
Europe,San Marino,965012,12.457777,43.94236,446,488,0,2,40,1587686564.335
Asia,Iran,955007,53.688046,32.427908,16702,87026,0,64843,5481,1587686564.335
Asia,Jordan,955010,36.238414,30.585164,112,437,0,318,7,1587686564.335
Europe,Guernsey,0,-2.585278,49.465691,231,241,0,0,10,1587686564.335
Asia,Lebanon,955012,35.862285,33.854721,526,688,0,140,22,1587686564.335
Europe,Gibraltar,0,-5.345374,36.137741,132,133,0,0,1,1587686564.335
Europe,Ireland,961003,-8.24389,53.41291,7580,17607,0,9233,794,1587686564.335
Africa,South Africa,984011,22.937506,-30.559482,2405,3953,0,1473,75,1587686564.335
Asia,Kuwait,955011,47.481766,29.31166,1887,2399,0,498,14,1587686564.335
North America,Jamaica,974009,-77.297508,18.109581,227,233,0,0,6,1587686564.335
Asia,Georgia,955006,43.356892,42.315407,308,420,0,107,5,1587686564.335
Africa,Tanzania,985009,34.888822,-6.369028,264,285,0,11,10,1587686564.335
Europe,France,961002,2.213749,46.227638,56860,120804,0,42088,21856,1587686564.335
Europe,Czech Republic,963002,15.472962,49.817492,4776,7138,0,2152,210,1587686564.335
Europe,Estonia,964002,25.013607,58.595272,1355,1592,0,192,45,1587686564.335
Europe,Romania,965011,24.96676,45.943161,7091,10096,0,2478,527,1587686564.335
Asia,Bangladesh,953001,90.356331,23.684994,3567,3772,0,85,120,1587686564.335
North America,Costa Rica,972002,-83.753428,9.748917,663,669,0,0,6,1587686564.335
Europe,Sweden,962005,18.643501,60.128161,14184,16755,0,550,2021,1587686564.335
Europe,Ukraine,964007,31.16558,48.379433,6479,7170,0,504,187,1587686564.335
Asia,Thailand,952010,100.992541,15.870032,359,2839,0,2430,50,1587686564.335
Europe,Norway,962004,8.468946,60.472024,7168,7361,0,0,193,1587686564.335
North America,Guatemala,972004,-90.230759,15.783471,307,316,0,0,9,1587686564.335
South America,Ecuador,973006,-78.183406,-1.831239,9812,10850,0,501,537,1587686564.335
Europe,Italy,965008,12.56738,41.87194,106848,189973,0,57576,25549,1587686564.335
Africa,Mali,982010,-3.996166,17.570692,212,310,0,77,21,1587686564.335
North America,Martinique,0,-61.024174,14.641528,150,164,0,0,14,1587686564.335
Africa,Mauritius,984014,57.552152,-20.348404,56,331,0,266,9,1587686564.335
Europe,Denmark,962001,9.501785,56.26392,4931,8073,0,2748,394,1587686564.335
Europe,Belarus,964001,27.953389,53.709807,6644,7281,0,577,60,1587686564.335
South America,Paraguay,973009,-58.443832,-23.442503,174,213,0,30,9,1587686564.335
Africa,Ethiopia,985004,40.489673,9.145,92,116,0,21,3,1587686564.335
Europe,Iceland,962003,-19.020835,64.963051,270,1789,0,1509,10,1587686564.335
Africa,Gabon,983004,11.609444,-0.803689,141,167,0,24,2,1587686564.335
Europe,Bulgaria,965004,25.48583,42.733883,892,1097,0,153,52,1587686564.335
Asia,Turkey,955018,35.243322,38.963745,80808,101790,0,18491,2491,1587686564.335
Europe,Slovenia,965014,14.995463,46.151241,1076,1366,0,211,79,1587686564.335
Europe,Russia,964006,105.318756,61.52401,57327,62773,0,4891,555,1587686564.335
