continent,country,locationId,longitude,latitude,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,updateTime
Asia,China,951001,104.195397,35.86166,1624,84287,0,78021,4642,2020-04-22 08:45:39
South America,Brazil,973003,-51.92528,-14.235004,17347,43079,0,22991,2741,2020-04-22 08:18:12
South America,Argentina,973001,-63.616672,-38.416097,2152,3031,0,737,142,2020-04-22 08:18:12
Africa,Madagascar,984005,46.869107,-18.766947,86,121,0,35,0,2020-04-22 08:18:12
Europe,Malta,965019,14.375416,35.937496,384,431,0,44,3,2020-04-22 08:18:12
Asia,Vietnam,952011,108.277199,14.058324,99,268,0,169,0,2020-04-22 08:18:12
Asia,Israel,955009,34.851612,31.046051,9251,13942,0,4507,184,2020-04-22 08:18:12
Europe,Finland,962002,25.748151,61.92411,3863,4014,0,10,141,2020-04-22 08:18:12
North America,Cuba,974004,-77.781167,21.521757,1051,1087,0,0,36,2020-04-22 08:18:12
Africa,Nigeria,982013,8.675277,9.081999,560,782,0,197,25,2020-04-22 08:18:12
Europe,Latvia,964003,24.603189,56.879635,676,748,0,67,5,2020-04-22 08:18:12
Europe,Poland,963006,19.145136,51.919438,8158,9856,0,1297,401,2020-04-22 08:18:12
Oceania,Guam,0,144.793731,13.444304,131,136,0,0,5,2020-04-22 08:18:12
Africa,Niger,982011,8.081666,17.607789,510,657,0,127,20,2020-04-22 08:18:12
Europe,Czech Republic,963002,15.472962,49.817492,5007,6961,0,1753,201,2020-04-22 08:18:12
Europe,Isle of Man,0,-4.548056,54.236107,293,297,0,0,4,2020-04-22 08:18:12
North America,Costa Rica,972002,-83.753428,9.748917,655,660,0,0,5,2020-04-22 08:18:12
Africa,Tanzania,985009,34.888822,-6.369028,232,255,0,13,10,2020-04-22 08:18:12
North America,Panama,972007,-80.782127,8.537981,4337,4467,0,4,126,2020-04-22 08:18:12
Europe,Austria,963001,14.550072,47.516231,3348,14810,0,10971,491,2020-04-22 08:18:12
Asia,Lebanon,955012,35.862285,33.854721,553,677,0,103,21,2020-04-22 08:18:12
Europe,Gibraltar,0,-5.345374,36.137741,132,133,0,0,1,2020-04-22 08:18:12
Europe,Guernsey,0,-2.585278,49.465691,230,239,0,0,9,2020-04-22 08:18:12
South America,Venezuela,0,-66.58973,6.42375,247,256,0,0,9,2020-04-22 08:18:12
Asia,Brunei,952002,114.727669,4.535277,22,138,0,115,1,2020-04-22 08:18:12
Africa,Morocco,981004,-7.09262,31.791702,2671,3209,0,393,145,2020-04-22 08:18:12
Africa,Gabon,983004,11.609444,-0.803689,139,156,0,16,1,2020-04-22 08:18:12
Asia,Afghanistan,955001,67.709953,33.93911,921,1092,0,135,36,2020-04-22 08:18:12
Africa,Mali,982010,-3.996166,17.570692,187,258,0,57,14,2020-04-22 08:18:12
North America,Martinique,0,-61.024174,14.641528,149,163,0,0,14,2020-04-22 08:18:12
Africa,Algeria,981001,1.659626,28.033886,1320,2811,0,1099,392,2020-04-22 08:18:12
South America,Chile,973004,-71.542969,-35.675147,5716,10832,0,4969,147,2020-04-22 08:18:12
Europe,Switzerland,963008,8.227512,46.818188,6944,27822,0,19400,1478,2020-04-22 08:08:59
Africa,Tunisia,981006,9.537499,33.886917,846,884,0,0,38,2020-04-22 08:08:59
Europe,Slovakia,963007,19.699024,48.669026,927,1199,0,258,14,2020-04-22 08:08:59
Oceania,New Zealand,990007,174.885971,-40.900557,62,1107,4,1032,13,2020-04-22 08:08:59
Europe,Bosnia and Herzegovina,965003,17.679076,43.915886,869,1318,0,398,51,2020-04-22 08:08:59
Asia,Singapore,952009,103.819836,1.352083,8431,9125,0,683,11,2020-04-22 08:08:59
Africa,Senegal,982014,-14.452362,14.497401,165,412,0,242,5,2020-04-22 08:08:59
Asia,Cyprus,955005,33.429859,35.126413,767,784,0,0,17,2020-04-22 08:08:59
Africa,Zimbabwe,984013,29.154857,-19.015438,23,28,0,2,3,2020-04-22 08:08:59
Africa,Uganda,985010,32.290275,1.373333,30,58,0,28,0,2020-04-22 08:08:59
Africa,Djibouti,985002,42.590275,11.825138,831,945,0,112,2,2020-04-22 08:08:59
Africa,Sudan,981005,30.217636,12.862807,93,107,0,2,12,2020-04-22 08:08:59
Africa,Guinea,0,-9.696645,9.945587,555,688,0,127,6,2020-04-22 08:08:59
South America,Uruguay,973011,-55.765835,-32.522779,212,535,0,313,10,2020-04-22 08:08:59
