continent,country,locationId,longitude,latitude,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,updateTime
Europe,Romania,965011,24.96676,45.943161,5142,6300,0,852,306,1586737661.771
Europe,Czech Republic,963002,15.472962,49.817492,5350,5952,0,464,138,1586737661.771
Europe,Andorra,965002,1.601554,42.546245,481,638,0,128,29,1586737661.771
Europe,Bulgaria,965004,25.48583,42.733883,643,675,0,3,29,1586737661.771
Africa,Gabon,983004,11.609444,-0.803689,55,57,0,1,1,1586737661.771
Europe,Denmark,962001,9.501785,56.26392,5007,6174,0,894,273,1586737661.771
South America,Ecuador,973006,-78.183406,-1.831239,6612,7446,0,501,333,1586737661.771
Africa,Mauritius,984014,57.552152,-20.348404,273,324,0,42,9,1586737661.771
Europe,Norway,962004,8.468946,60.472024,6359,6485,0,0,126,1586737661.771
South America,Chile,973004,-71.542969,-35.675147,5074,7213,0,2059,80,1586737661.771
South America,Argentina,973001,-63.616672,-38.416097,1695,2142,0,358,89,1586737661.771
Africa,Tunisia,981006,9.537499,33.886917,676,707,0,0,31,1586737661.771
Asia,Japan,951002,138.252924,36.204824,6881,7423,0,404,138,1586737661.771
Oceania,Australia,990001,133.775136,-25.274398,6135,6313,0,119,59,1586737661.771
Africa,Mozambique,984008,35.529562,-18.665695,19,21,0,2,0,1586737661.771
Asia,China,951001,104.195397,35.86166,2110,83524,0,78065,3349,1586737661.771
Africa,Uganda,985010,32.290275,1.373333,36,54,0,18,0,1586737661.771
North America,Cuba,974004,-77.781167,21.521757,604,620,0,0,16,1586737661.771
South America,Peru,973008,-75.015152,-9.189967,5528,7519,0,1798,193,1586737661.771
Europe,Moldova,964005,28.369885,47.411631,1455,1560,0,75,30,1586737661.771
Europe,Poland,963006,19.145136,51.919438,6003,6674,0,439,232,1586737661.771
South America,Uruguay,973011,-55.765835,-32.522779,256,501,0,224,21,1586737661.771
Asia,Thailand,952010,100.992541,15.870032,1295,2551,0,1218,38,1586735956.782
Europe,Hungary,963004,19.503304,47.162494,1193,1410,0,118,99,1586735956.782
Europe,Estonia,964002,25.013607,58.595272,1191,1309,0,93,25,1586735956.782
Asia,Bangladesh,953001,90.356331,23.684994,548,621,0,39,34,1586735956.782
North America,Costa Rica,972002,-83.753428,9.748917,555,558,0,0,3,1586735956.782
Europe,France,961002,2.213749,46.227638,53824,95403,0,27186,14393,1586735956.782
Asia,Pakistan,953006,69.345116,30.375321,4377,5230,0,762,91,1586735956.782
Asia,Georgia,955006,43.356892,42.315407,186,252,0,63,3,1586735956.782
Europe,Ireland,961003,-8.24389,53.41291,9259,9655,0,62,334,1586735956.782
Africa,South Africa,984011,22.937506,-30.559482,2103,2173,0,45,25,1586735956.782
Europe,Croatia,965005,15.2,45.1,1264,1660,0,373,23,1586735956.782
Europe,Austria,963001,14.550072,47.516231,11101,13945,0,2507,337,1586735956.782
Asia,Lebanon,955012,35.862285,33.854721,533,630,0,77,20,1586735956.782
Africa,Morocco,981004,-7.09262,31.791702,1366,1661,0,177,118,1586735956.782
Europe,Greece,965007,21.824312,39.074208,1997,2114,0,19,98,1586735956.782
Europe,Russia,964006,105.318756,61.52401,14349,15770,0,1291,130,1586735956.782
South America,Bolivia,973002,-63.588653,-16.290154,255,275,0,0,20,1586735956.782
Europe,Slovenia,965014,14.995463,46.151241,1002,1205,0,150,53,1586735956.782
Asia,Afghanistan,955001,67.709953,33.93911,550,607,0,38,19,1586735956.782
South America,Colombia,973005,-74.297333,4.570868,2582,2776,0,85,109,1586735956.782
Africa,Algeria,981001,1.659626,28.033886,1030,1914,0,591,293,1586735956.782
North America,Martinique,0,-61.024174,14.641528,149,155,0,0,6,1586735956.782
Asia,Malaysia,952007,101.975766,4.210484,2499,4683,0,2108,76,1586735956.782
North America,Guatemala,972004,-90.230759,15.783471,134,137,0,0,3,1586735956.782
Europe,Lithuania,964004,23.881275,55.169438,933,1053,0,97,23,1586735956.782
Europe,Switzerland,963008,8.227512,46.818188,12177,25135,0,12100,858,1586735956.782
Asia,Oman,955013,55.923255,21.512583,486,599,0,109,4,1586735956.782
South America,Brazil,973003,-51.92528,-14.235004,20819,22169,0,127,1223,1586735956.782
