continent,country,locationId,longitude,latitude,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,updateTime
Europe,Austria,963001,14.550072,47.516231,2769,14985,0,11694,522,1587776139.573
Africa,Cameroon,983001,12.354722,7.369722,684,1401,0,668,49,1587776139.573
North America,Cuba,974004,-77.781167,21.521757,1192,1235,0,0,43,1587776139.573
Europe,Germany,963003,10.451526,51.165691,38262,150383,0,106800,5321,1587776139.573
Africa,Niger,982011,8.081666,17.607789,368,681,0,289,24,1587776139.573
North America,Canada,971001,-106.346771,56.130366,26350,43889,0,15202,2337,1587775774.672
Asia,China,951001,104.195397,35.86166,1318,84324,0,78364,4642,1587775774.672
South America,Colombia,973005,-74.297333,4.570868,4571,4881,0,85,225,1587775226.996
Asia,Bangladesh,953001,90.356331,23.684994,4446,4689,0,112,131,1587775226.996
Europe,Czech Republic,963002,15.472962,49.817492,4651,7236,0,2371,214,1587775226.996
South America,Guyana,973007,-58.93018,4.860416,56,73,0,9,8,1587775226.996
Europe,Finland,962002,25.748151,61.92411,4208,4395,0,10,177,1587775226.996
North America,Mexico,971003,-102.552784,23.634501,11650,12872,0,1,1221,1587774860.654
South America,Chile,973004,-71.542969,-35.675147,5805,12306,0,6327,174,1587774860.654
Africa,Sudan,981005,30.217636,12.862807,144,174,0,14,16,1587774860.654
Asia,Singapore,952009,103.819836,1.352083,11380,12075,0,683,12,1587774860.654
Asia,Japan,951002,138.252924,36.204824,11445,12859,0,1069,345,1587774860.654
Asia,Lebanon,955012,35.862285,33.854721,534,696,0,140,22,1587773329.661
Asia,India,953003,78.96288,20.593684,17915,23452,0,4814,723,1587773329.661
North America,El Salvador,972003,-88.89653,13.794185,242,250,0,0,8,1587773329.661
Europe,Greece,965007,21.824312,39.074208,2341,2490,0,19,130,1587771863.958
South America,Bolivia,973002,-63.588653,-16.290154,632,672,0,0,40,1587771863.958
Africa,Swaziland,984010,31.465866,-26.522503,29,40,0,10,1,1587771863.958
Europe,Bulgaria,965004,25.48583,42.733883,981,1188,0,153,54,1587771863.958
Africa,Gabon,983004,11.609444,-0.803689,143,172,0,26,3,1587771863.958
North America,Martinique,0,-61.024174,14.641528,156,170,0,0,14,1587771863.958
Asia,Thailand,952010,100.992541,15.870032,314,2854,0,2490,50,1587771863.958
Europe,Isle of Man,0,-4.548056,54.236107,291,307,0,0,16,1587771863.958
Europe,Romania,965011,24.96676,45.943161,7048,10417,0,2817,552,1587771863.958
Africa,South Africa,984011,22.937506,-30.559482,2668,4220,0,1473,79,1587771863.958
Asia,United Arab Emirates,955019,53.847818,23.424076,7457,9281,0,1760,64,1587771863.958
Africa,Uganda,985010,32.290275,1.373333,47,75,0,28,0,1587771863.958
Europe,Poland,963006,19.145136,51.919438,8454,10892,0,1944,494,1587771863.958
Europe,Albania,965001,20.168331,41.153332,323,678,0,327,28,1587771863.958
Africa,Guinea,0,-9.696645,9.945587,757,954,0,191,6,1587771863.958
Asia,Philippines,952008,121.774017,12.879721,5953,7192,0,762,477,1587771863.958
Africa,Tunisia,981006,9.537499,33.886917,690,922,0,194,38,1587771863.958
Europe,Bosnia and Herzegovina,965003,17.679076,43.915886,820,1413,0,538,55,1587771863.958
Europe,Malta,965019,14.375416,35.937496,398,445,0,44,3,1587771863.958
Africa,Egypt,981002,30.802498,26.820553,2723,4092,0,1075,294,1587771863.958
North America,Puerto Rico,0,-66.590149,18.220833,1352,1416,0,0,64,1587771863.958
Africa,Burkina Faso,982002,-1.561593,12.238333,163,629,0,425,41,1587771863.958
Oceania,Australia,990001,133.775136,-25.274398,1496,6667,0,5095,76,1587771863.958
Asia,Brunei,952002,114.727669,4.535277,22,138,0,115,1,1587771376.686
Africa,Morocco,981004,-7.09262,31.791702,3114,3758,0,486,158,1587771376.686
Europe,Andorra,965002,1.601554,42.546245,347,731,0,344,40,1587771376.686
Asia,Bahrain,955004,50.637772,25.930414,1385,2506,0,1113,8,1587771376.686
Asia,Uzbekistan,954005,64.585262,41.377491,1210,1778,0,561,7,1587771376.686
Europe,Russia,964006,105.318756,61.52401,62439,68622,0,5568,615,1587771376.686
Europe,Slovenia,965014,14.995463,46.151241,1078,1373,0,215,80,1587771376.686
Africa,Ethiopia,985004,40.489673,9.145,89,117,0,25,3,1587771376.686
South America,Paraguay,973009,-58.443832,-23.442503,174,213,0,30,9,1587771376.686
Europe,Denmark,962001,9.501785,56.26392,5059,8210,0,2748,403,1587771376.686
Africa,Mali,982010,-3.996166,17.570692,217,325,0,87,21,1587771376.686
Africa,Mauritius,984014,57.552152,-20.348404,37,331,0,285,9,1587771376.686
South America,Ecuador,973006,-78.183406,-1.831239,10122,11183,0,501,560,1587771376.686
Africa,Togo,982016,0.824782,8.619543,25,90,0,59,6,1587771376.686
Asia,Malaysia,952007,101.975766,4.210484,1932,5691,0,3663,96,1587771376.686
North America,Guatemala,972004,-90.230759,15.783471,332,342,0,0,10,1587771376.686
Africa,Liberia,982009,-9.429499,6.428055,84,117,0,25,8,1587771376.686
Europe,Ukraine,964007,31.16558,48.379433,6853,7647,0,601,193,1587771376.686
Europe,Sweden,962005,18.643501,60.128161,14978,17678,0,541,2159,1587771376.686
North America,Trinidad and Tobago,974013,-61.222503,10.691803,107,115,0,0,8,1587771376.686
