Province,Country,Longitude,Latitude,ConfirmedCount,DeadCount,CuredCount,LastUpdateTime
Others,Diamond Princess cruise ship,null,null,705,6,10,2020-02-29T01:43:02
US,Unassigned Location (From Diamond Princess),null,null,44,0,0,2020-02-28T20:03:03
